#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.25 0.25]
#! SET kt 1.0
100 101 318 109 682
200 191 676 224 1324
300 296 985 347 2015
400 401 1398 460 2602
500 475 1868 545 3132
600 526 2245 600 3755
700 561 2609 641 4391
800 583 3003 666 4997
900 607 3496 686 5504
1000 631 3972 710 6028
1100 654 4436 727 6564
1200 667 4941 741 7059
1300 680 5454 751 7546
1400 697 5934 770 8066
1500 712 6459 790 8541
1600 731 6944 804 9056
1700 744 7483 819 9517
1800 764 7942 831 10058
1900 783 8376 854 10624
2000 809 8882 874 11118
2100 823 9338 888 11662
2200 847 9854 909 12146
2300 863 10310 922 12690
2400 882 10781 938 13219
2500 900 11236 957 13764
2600 926 11731 978 14269
2700 939 12252 996 14748
2800 951 12694 1014 15306
2900 962 13173 1034 15827
3000 977 13665 1051 16335
3100 993 14152 1064 16848
3200 1005 14694 1076 17306
3300 1019 15169 1091 17831
3400 1039 15622 1102 18378
3500 1059 16146 1116 18854
3600 1082 16634 1132 19366
3700 1101 17170 1148 19830
3800 1118 17663 1166 20337
3900 1130 18184 1182 20816
4000 1140 18741 1200 21259
4100 1160 19224 1220 21776
4200 1188 19720 1243 22280
4300 1213 20210 1265 22790
4400 1237 20745 1279 23255
4500 1253 21206 1291 23794
4600 1258 21678 1304 24322
4700 1273 22171 1322 24829
4800 1293 22667 1345 25333
4900 1314 23139 1377 25861
5000 1333 23669 1399 26331
5100 1344 24226 1419 26774
5200 1365 24758 1434 27242
5300 1382 25259 1454 27741
5400 1400 25734 1472 28266
5500 1419 26234 1493 28766
5600 1443 26748 1513 29252
5700 1461 27246 1527 29754
5800 1479 27722 1539 30278
5900 1491 28195 1556 30805
6000 1512 28694 1575 31306
6100 1530 29219 1594 31781
6200 1550 29719 1618 32281
6300 1568 30234 1637 32766
6400 1580 30737 1656 33263
6500 1597 31217 1674 33783
6600 1615 31709 1690 34291
6700 1636 32236 1708 34764
6800 1654 32806 1725 35194
6900 1667 33239 1734 35761
7000 1684 33759 1750 36241
7100 1708 34215 1765 36785
7200 1726 34739 1779 37261
7300 1742 35263 1793 37737
7400 1749 35775 1802 38225
7500 1768 36349 1820 38651
7600 1793 36842 1836 39158
7700 1808 37341 1857 39659
7800 1827 37761 1869 40239
7900 1844 38276 1890 40724
8000 1859 38783 1905 41217
8100 1874 39271 1923 41729
8200 1891 39753 1932 42247
8300 1906 40243 1947 42757
8400 1935 40768 1971 43232
8500 1953 41285 1987 43715
8600 1966 41828 2013 44172
8700 1979 42300 2028 44700
8800 2002 42800 2044 45200
8900 2017 43325 2064 45675
9000 2034 43800 2084 46200
9100 2051 44301 2105 46699
9200 2066 44763 2124 47237
9300 2079 45303 2145 47697
9400 2098 45826 2173 48174
9500 2110 46289 2182 48711
9600 2126 46804 2202 49196
9700 2142 47345 2224 49655
9800 2166 47856 2253 50144
9900 2184 48435 2270 50565
10000 2202 48966 2287 51034
10100 2231 49478 2308 51522
10200 2254 50009 2322 51991
10300 2268 50533 2332 52467
10400 2280 51017 2350 52983
10500 2303 51514 2363 53486
10600 2324 51947 2382 54053
10700 2342 52406 2401 54594
10800 2354 52896 2418 55104
10900 2377 53421 2443 55579
11000 2390 53910 2449 56090
11100 2407 54418 2465 56582
11200 2426 54898 2482 57102
11300 2440 55437 2510 57563
11400 2466 55991 2532 58009
11500 2479 56493 2547 58507
11600 2493 56962 2560 59038
11700 2516 57464 2588 59536
11800 2532 57928 2611 60072
11900 2556 58426 2631 60574
12000 2576 58971 2652 61029
12100 2591 59477 2665 61523
12200 2611 59903 2682 62097
12300 2625 60464 2697 62536
12400 2640 60939 2710 63061
12500 2656 61435 2717 63565
12600 2676 61964 2737 64036
12700 2693 62523 2754 64477
12800 2705 63088 2772 64912
12900 2727 63580 2790 65420
13000 2739 64025 2811 65975
13100 2750 64500 2826 66500
13200 2767 65009 2846 66991
13300 2783 65518 2863 67482
13400 2794 66050 2878 67950
13500 2809 66572 2890 68428
13600 2827 67064 2906 68936
13700 2846 67518 2927 69482
13800 2860 68029 2956 69971
13900 2879 68562 2980 70438
14000 2901 69056 2999 70944
14100 2919 69556 3019 71444
14200 2941 70050 3038 71950
14300 2962 70558 3055 72442
14400 2980 71081 3070 72919
14500 2995 71564 3081 73436
14600 3009 71991 3106 74009
14700 3032 72473 3126 74527
14800 3049 72914 3143 75086
14900 3067 73403 3156 75597
15000 3083 73943 3169 76057
15100 3110 74492 3189 76508
15200 3130 75015 3208 76985
15300 3146 75475 3225 77525
15400 3163 75995 3250 78005
15500 3179 76508 3258 78492
15600 3205 76978 3281 79022
15700 3217 77481 3300 79519
15800 3238 78029 3315 79971
15900 3250 78582 3331 80418
16000 3264 79070 3343 80930
16100 3282 79582 3356 81418
16200 3298 80113 3376 81887
16300 3311 80571 3396 82429
16400 3328 81064 3412 82936
16500 3342 81541 3423 83459
16600 3353 82030 3439 83970
16700 3369 82498 3449 84502
16800 3385 82987 3470 85013
16900 3400 83484 3485 85516
17000 3417 83946 3502 86054
17100 3431 84486 3521 86514
17200 3445 84928 3540 87072
17300 3461 85358 3554 87642
17400 3476 85801 3576 88199
17500 3492 86257 3598 88743
17600 3504 86800 3618 89200
17700 3515 87320 3627 89680
17800 3527 87810 3646 90190
17900 3542 88309 3665 90691
18000 3561 88796 3681 91204
