#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.15 0.15]
#! SET kt 1.0
100 155 528 160 472
200 231 705 266 1295
300 327 944 398 2056
400 423 1281 500 2719
500 497 1715 594 3285
600 571 1885 680 4115
700 647 2131 771 4869
800 709 2446 857 5554
900 743 2834 896 6166
1000 780 3259 935 6741
1100 808 3731 972 7269
1200 830 4255 991 7745
1300 858 4777 1011 8223
1400 884 5268 1031 8732
1500 908 5785 1051 9215
1600 927 6364 1067 9636
1700 951 6919 1080 10081
1800 967 7450 1093 10550
1900 981 8041 1103 10959
2000 992 8605 1119 11395
2100 1013 9222 1131 11778
2200 1034 9755 1142 12245
2300 1055 10231 1166 12769
2400 1079 10767 1181 13233
2500 1093 11280 1201 13720
2600 1113 11890 1217 14110
2700 1133 12406 1236 14594
2800 1152 12932 1251 15068
2900 1171 13468 1267 15532
3000 1194 13989 1286 16011
3100 1215 14522 1301 16478
3200 1231 15064 1321 16936
3300 1253 15497 1335 17503
3400 1265 15983 1354 18017
3500 1284 16485 1370 18515
3600 1296 17007 1378 18993
3700 1313 17479 1398 19521
3800 1328 17980 1420 20020
3900 1346 18448 1435 20552
4000 1369 18961 1454 21039
4100 1387 19419 1476 21581
4200 1409 19872 1498 22128
4300 1434 20432 1513 22568
4400 1446 20924 1527 23076
4500 1458 21491 1541 23509
4600 1482 21952 1566 24048
4700 1505 22458 1580 24542
4800 1521 22943 1600 25057
4900 1531 23401 1616 25599
5000 1546 23956 1632 26044
5100 1568 24440 1652 26560
5200 1585 24985 1668 27015
5300 1604 25559 1687 27441
5400 1621 26083 1712 27917
5500 1639 26658 1726 28342
5600 1655 27236 1748 28764
5700 1672 27739 1764 29261
5800 1686 28307 1779 29693
5900 1699 28891 1797 30109
6000 1710 29396 1814 30604
6100 1727 29902 1828 31098
6200 1745 30480 1844 31520
6300 1757 31033 1864 31967
6400 1778 31542 1882 32458
6500 1805 32116 1907 32884
6600 1821 32659 1926 33341
6700 1842 33138 1938 33862
6800 1867 33648 1958 34352
6900 1880 34167 1976 34833
7000 1894 34685 1994 35315
7100 1913 35106 2009 35894
