#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [1. 1.]
#! SET kt 1.0
100 60 182 58 818
200 121 452 132 1548
300 191 791 202 2209
400 259 1193 257 2807
500 292 1684 304 3316
600 321 2237 343 3763
700 343 2835 366 4165
800 361 3358 378 4642
900 378 3824 388 5176
1000 398 4318 398 5682
1100 406 4813 405 6187
1200 413 5323 419 6677
1300 420 5806 434 7194
1400 429 6246 440 7754
1500 442 6678 450 8322
1600 443 7095 451 8905
1700 444 7579 455 9421
1800 447 8016 459 9984
1900 448 8509 461 10491
2000 450 8916 463 11084
2100 452 9278 468 11722
2200 458 9698 470 12302
2300 460 10182 473 12818
2400 464 10561 476 13439
2500 466 11035 478 13965
2600 466 11461 478 14539
2700 471 11927 479 15073
2800 475 12375 481 15625
2900 480 12806 484 16194
3000 484 13303 489 16697
3100 492 13903 489 17097
3200 498 14513 490 17487
3300 504 15109 498 17891
3400 506 15608 505 18392
3500 508 16020 508 18980
3600 508 16463 508 19537
3700 510 16968 514 20032
3800 512 17392 516 20608
3900 520 17896 524 21104
4000 523 18307 526 21693
4100 524 18738 531 22262
4200 525 19226 532 22774
4300 529 19659 537 23341
4400 531 20047 539 23953
4500 535 20617 541 24383
4600 537 21013 543 24987
4700 538 21489 545 25511
4800 538 21920 545 26080
4900 540 22487 546 26513
5000 542 23061 548 26939
5100 545 23552 549 27448
5200 547 24030 550 27970
5300 550 24528 553 28472
5400 555 24931 556 29069
5500 556 25435 558 29565
5600 560 26115 562 29885
5700 567 26589 563 30411
5800 569 27073 570 30927
5900 572 27522 574 31478
6000 576 28125 579 31875
6100 583 28699 581 32301
6200 589 29173 585 32827
6300 592 29661 588 33339
6400 594 30170 589 33830
6500 595 30698 592 34302
6600 595 31209 593 34791
6700 599 31670 593 35330
6800 600 32255 597 35745
6900 604 32808 599 36192
7000 605 33337 599 36663
7100 605 33817 600 37183
7200 606 34359 601 37641
7300 609 34947 601 38053
7400 612 35401 602 38599
7500 618 35782 603 39218
7600 619 36182 608 39818
7700 622 36646 612 40354
7800 624 37138 615 40862
7900 628 37560 615 41440
8000 631 37986 617 42014
8100 632 38325 622 42675
8200 637 38882 623 43118
8300 639 39512 626 43488
8400 642 39984 631 44016
8500 643 40370 633 44630
8600 647 40909 635 45091
8700 651 41495 636 45505
8800 652 42086 639 45914
8900 653 42654 644 46346
9000 655 43175 646 46825
9100 656 43683 650 47317
9200 656 44180 652 47820
9300 658 44732 654 48268
9400 662 45120 658 48880
9500 667 45684 662 49316
9600 670 46323 666 49677
9700 671 46830 668 50170
9800 674 47331 670 50669
9900 676 47670 673 51330
10000 677 48195 674 51805
10100 678 48701 676 52299
10200 684 49258 677 52742
10300 686 49774 680 53226
10400 690 50217 680 53783
10500 692 50813 688 54187
10600 693 51399 690 54601
10700 695 51837 691 55163
10800 697 52275 692 55725
10900 699 52733 693 56267
11000 700 53249 694 56751
11100 702 53809 695 57191
11200 704 54258 695 57742
11300 706 54803 696 58197
11400 710 55395 699 58605
11500 713 55881 702 59119
11600 713 56392 705 59608
11700 718 56960 707 60040
11800 720 57492 709 60508
11900 721 57965 711 61035
12000 724 58352 712 61648
12100 729 58821 718 62179
12200 734 59334 724 62666
12300 738 59807 728 63193
12400 747 60253 731 63747
12500 755 60707 735 64293
12600 757 61074 736 64926
12700 758 61626 737 65374
12800 763 62175 742 65825
12900 764 62631 744 66369
13000 766 63129 745 66871
13100 769 63639 747 67361
13200 769 64072 749 67928
13300 771 64600 752 68400
13400 772 65074 755 68926
13500 775 65579 763 69421
13600 780 65995 768 70005
13700 783 66395 771 70605
13800 787 66890 775 71110
13900 787 67385 776 71615
14000 793 67911 780 72089
14100 796 68416 783 72584
14200 797 68859 783 73141
14300 799 69266 783 73734
14400 803 69783 792 74217
14500 809 70234 794 74766
14600 810 70651 796 75349
14700 810 71081 798 75919
14800 813 71575 801 76425
14900 814 72183 802 76817
15000 818 72657 804 77343
15100 822 73241 807 77759
15200 828 73850 808 78150
15300 829 74432 808 78568
15400 829 75028 808 78972
15500 834 75491 809 79509
15600 835 75893 810 80107
15700 837 76307 811 80693
15800 842 76804 815 81196
15900 847 77280 816 81720
16000 851 77677 819 82323
16100 855 78099 822 82901
16200 858 78555 822 83445
16300 858 79108 823 83892
16400 859 79578 825 84422
16500 862 80155 827 84845
16600 867 80641 831 85359
16700 870 81133 836 85867
16800 871 81542 840 86458
16900 873 82001 840 86999
17000 877 82401 843 87599
17100 880 82859 848 88141
17200 880 83301 850 88699
17300 880 83717 852 89283
17400 882 84119 853 89881
17500 885 84511 854 90489
17600 889 85043 860 90957
17700 892 85582 862 91418
17800 899 86106 864 91894
17900 901 86692 869 92308
18000 902 87257 872 92743
18100 902 87810 875 93190
18200 905 88391 878 93609
18300 910 89043 882 93957
18400 914 89627 884 94373
18500 918 90121 886 94879
18600 925 90585 888 95415
18700 926 91261 891 95739
18800 931 91882 896 96118
18900 942 92563 899 96437
19000 946 92988 907 97012
19100 949 93623 909 97377
19200 952 94278 913 97722
19300 957 94765 919 98235
19400 964 95227 925 98773
19500 978 95806 933 99194
19600 982 96180 937 99820
19700 983 96702 938 100298
19800 987 97137 939 100863
19900 989 97624 942 101376
20000 992 98123 947 101877
20100 994 98638 950 102362
20200 1001 99138 957 102862
20300 1006 99577 961 103423
20400 1008 100094 963 103906
20500 1010 100607 966 104393
20600 1013 101139 968 104861
20700 1015 101633 969 105367
20800 1023 102068 976 105932
20900 1026 102653 980 106347
21000 1030 103106 981 106894
21100 1033 103574 983 107426
21200 1036 104019 985 107981
21300 1037 104514 987 108486
21400 1040 104954 988 109046
21500 1041 105378 992 109622
21600 1042 105888 996 110112
21700 1043 106337 997 110663
21800 1043 106920 1000 111080
21900 1045 107400 1002 111600
22000 1048 107895 1003 112105
22100 1049 108452 1004 112548
22200 1051 109032 1006 112968
22300 1053 109721 1008 113279
22400 1058 110270 1011 113730
22500 1064 110916 1014 114084
22600 1072 111489 1018 114511
22700 1074 111949 1020 115051
22800 1076 112429 1023 115571
22900 1079 112930 1024 116070
23000 1080 113340 1024 116660
23100 1080 113768 1027 117232
23200 1084 114139 1028 117861
23300 1086 114620 1031 118380
23400 1089 115093 1035 118907
23500 1093 115479 1039 119521
23600 1095 115963 1039 120037
23700 1096 116554 1041 120446
23800 1098 117097 1044 120903
23900 1102 117418 1044 121582
24000 1105 117729 1047 122271
24100 1111 118148 1048 122852
24200 1111 118711 1049 123289
