X	Potential(X)	Exp(-Potential(X))	Convolved Exp(-Potential(X))	Potential from Convolved Density
1.5600	0.2638	0.7681	0.7545	0.2818
1.5700	0.2865	0.7509	0.7395	0.3018
1.5800	0.3098	0.7336	0.7244	0.3225
1.5900	0.3338	0.7162	0.7092	0.3436
1.6000	0.3584	0.6988	0.6940	0.3653
1.6100	0.3837	0.6813	0.6787	0.3876
1.6200	0.4097	0.6639	0.6634	0.4104
1.6300	0.4363	0.6464	0.6480	0.4338
1.6400	0.4637	0.6290	0.6327	0.4578
1.6500	0.4918	0.6116	0.6173	0.4824
1.6600	0.5205	0.5942	0.6019	0.5077
1.6700	0.5500	0.5769	0.5865	0.5336
1.6800	0.5803	0.5597	0.5711	0.5601
1.6900	0.6113	0.5427	0.5558	0.5874
1.7000	0.6430	0.5257	0.5405	0.6153
1.7100	0.6755	0.5089	0.5252	0.6439
1.7200	0.7088	0.4922	0.5100	0.6733
1.7300	0.7429	0.4757	0.4949	0.7034
1.7400	0.7778	0.4594	0.4799	0.7343
1.7500	0.8135	0.4433	0.4649	0.7660
1.7600	0.8500	0.4274	0.4500	0.7985
1.7700	0.8873	0.4118	0.4353	0.8318
1.7800	0.9255	0.3963	0.4206	0.8660
1.7900	0.9645	0.3812	0.4061	0.9011
1.8000	1.0044	0.3663	0.3918	0.9371
1.8100	1.0452	0.3516	0.3776	0.9739
1.8200	1.0868	0.3373	0.3636	1.0117
1.8300	1.1293	0.3232	0.3498	1.0504
1.8400	1.1728	0.3095	0.3362	1.0900
1.8500	1.2171	0.2961	0.3229	1.1305
1.8600	1.2624	0.2830	0.3097	1.1721
1.8700	1.3086	0.2702	0.2968	1.2146
1.8800	1.3558	0.2577	0.2842	1.2582
1.8900	1.4039	0.2456	0.2718	1.3028
1.9000	1.4530	0.2339	0.2596	1.3485
1.9100	1.5031	0.2224	0.2478	1.3953
1.9200	1.5542	0.2114	0.2362	1.4431
1.9300	1.6063	0.2006	0.2249	1.4922
1.9400	1.6594	0.1903	0.2139	1.5424
1.9500	1.7135	0.1802	0.2031	1.5939
1.9600	1.7687	0.1706	0.1927	1.6466
1.9700	1.8249	0.1612	0.1826	1.7007
1.9800	1.8822	0.1523	0.1727	1.7560
1.9900	1.9405	0.1436	0.1632	1.8128
2.0000	2.0000	0.1353	0.1540	1.8710
