X	Potential(X)	Exp(-Potential(X))	Convolved Exp(-Potential(X))	Potential from Convolved Density
1.6500	0.4918	0.6116	0.4238	0.8586
1.6600	0.5205	0.5942	0.4148	0.8800
1.6700	0.5500	0.5769	0.4059	0.9018
1.6800	0.5803	0.5597	0.3969	0.9239
1.6900	0.6113	0.5427	0.3881	0.9465
1.7000	0.6430	0.5257	0.3792	0.9696
1.7100	0.6755	0.5089	0.3705	0.9930
1.7200	0.7088	0.4922	0.3617	1.0169
1.7300	0.7429	0.4757	0.3530	1.0412
1.7400	0.7778	0.4594	0.3444	1.0660
1.7500	0.8135	0.4433	0.3358	1.0912
1.7600	0.8500	0.4274	0.3273	1.1168
1.7700	0.8873	0.4118	0.3189	1.1430
1.7800	0.9255	0.3963	0.3105	1.1696
1.7900	0.9645	0.3812	0.3022	1.1967
1.8000	1.0044	0.3663	0.2940	1.2243
1.8100	1.0452	0.3516	0.2858	1.2524
1.8200	1.0868	0.3373	0.2778	1.2810
1.8300	1.1293	0.3232	0.2698	1.3101
1.8400	1.1728	0.3095	0.2619	1.3397
1.8500	1.2171	0.2961	0.2541	1.3699
1.8600	1.2624	0.2830	0.2465	1.4006
1.8700	1.3086	0.2702	0.2389	1.4319
1.8800	1.3558	0.2577	0.2314	1.4637
1.8900	1.4039	0.2456	0.2240	1.4961
1.9000	1.4530	0.2339	0.2167	1.5291
1.9100	1.5031	0.2224	0.2096	1.5627
1.9200	1.5542	0.2114	0.2025	1.5969
1.9300	1.6063	0.2006	0.1956	1.6318
1.9400	1.6594	0.1903	0.1888	1.6672
1.9500	1.7135	0.1802	0.1821	1.7034
1.9600	1.7687	0.1706	0.1755	1.7402
1.9700	1.8249	0.1612	0.1690	1.7776
1.9800	1.8822	0.1523	0.1627	1.8158
1.9900	1.9405	0.1436	0.1565	1.8546
2.0000	2.0000	0.1353	0.1504	1.8942
