X	Potential(X)	Exp(-Potential(X))	Convolved Exp(-Potential(X))	Potential from Convolved Density
-0.8800	-2.6739	14.4965	15.7304	-2.7556
-0.8700	-2.6287	13.8558	15.2520	-2.7247
-0.8600	-2.5834	13.2420	14.7794	-2.6932
-0.8500	-2.5380	12.6543	14.3131	-2.6612
-0.8400	-2.4925	12.0918	13.8537	-2.6286
-0.8300	-2.4470	11.5538	13.4016	-2.5954
-0.8200	-2.4015	11.0395	12.9573	-2.5617
-0.8100	-2.3559	10.5480	12.5212	-2.5274
-0.8000	-2.3104	10.0785	12.0935	-2.4927
-0.7900	-2.2649	9.6302	11.6747	-2.4574
-0.7800	-2.2194	9.2023	11.2651	-2.4217
-0.7700	-2.1741	8.7940	10.8647	-2.3855
-0.7600	-2.1288	8.4046	10.4740	-2.3489
-0.7500	-2.0836	8.0333	10.0929	-2.3118
-0.7400	-2.0385	7.6793	9.7218	-2.2744
-0.7300	-1.9936	7.3420	9.3606	-2.2365
-0.7200	-1.9489	7.0207	9.0095	-2.1983
-0.7100	-1.9043	6.7146	8.6685	-2.1597
-0.7000	-1.8599	6.4231	8.3376	-2.1208
-0.6900	-1.8157	6.1456	8.0168	-2.0815
-0.6800	-1.7718	5.8813	7.7061	-2.0420
-0.6700	-1.7281	5.6299	7.4054	-2.0022
-0.6600	-1.6847	5.3906	7.1146	-1.9621
-0.6500	-1.6415	5.1629	6.8336	-1.9219
-0.6400	-1.5986	4.9462	6.5623	-1.8813
-0.6300	-1.5561	4.7402	6.3006	-1.8406
-0.6200	-1.5138	4.5441	6.0483	-1.7998
-0.6100	-1.4719	4.3577	5.8052	-1.7588
-0.6000	-1.4304	4.1804	5.5712	-1.7176
-0.5900	-1.3892	4.0117	5.3461	-1.6764
-0.5800	-1.3484	3.8514	5.1297	-1.6350
-0.5700	-1.3080	3.6989	4.9217	-1.5937
-0.5600	-1.2681	3.5539	4.7221	-1.5522
-0.5500	-1.2285	3.4161	4.5304	-1.5108
-0.5400	-1.1894	3.2850	4.3466	-1.4694
-0.5300	-1.1507	3.1604	4.1704	-1.4280
-0.5200	-1.1125	3.0419	4.0016	-1.3867
-0.5100	-1.0747	2.9293	3.8400	-1.3455
-0.5000	-1.0375	2.8222	3.6853	-1.3043
-0.4900	-1.0008	2.7203	3.5373	-1.2634
-0.4800	-0.9645	2.6235	3.3958	-1.2225
-0.4700	-0.9288	2.5315	3.2605	-1.1819
-0.4600	-0.8936	2.4440	3.1313	-1.1414
-0.4500	-0.8590	2.3608	3.0079	-1.1012
-0.4400	-0.8249	2.2817	2.8901	-1.0613
