#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [1. 1.]
#! SET kt 1.0
22600 1014 108524 1177 117476
22700 1015 109118 1177 117882
22800 1016 109570 1179 118430
22900 1016 110067 1179 118933
23000 1017 110567 1181 119433
23100 1018 111069 1181 119931
23200 1020 111595 1181 120405
23300 1021 112101 1181 120899
23400 1022 112499 1181 121501
23500 1022 112908 1182 122092
23600 1022 113462 1182 122538
23700 1022 113898 1184 123102
23800 1024 114378 1185 123622
23900 1024 114881 1186 124119
24000 1024 115405 1186 124595
24100 1029 115959 1187 125041
24200 1029 116417 1187 125583
24300 1029 116915 1190 126085
24400 1029 117389 1190 126611
24500 1032 117821 1191 127179
24600 1033 118116 1194 127884
24700 1036 118562 1195 128438
24800 1038 118996 1196 129004
24900 1038 119675 1197 129325
25000 1038 120404 1199 129596
25100 1039 120893 1199 130107
25200 1040 121366 1199 130634
25300 1043 121797 1200 131203
25400 1044 122374 1201 131626
25500 1045 122820 1202 132180
25600 1045 123207 1203 132793
25700 1046 123725 1204 133275
25800 1046 124164 1205 133836
25900 1047 124759 1206 134241
26000 1047 125480 1207 134520
26100 1048 125977 1207 135023
26200 1048 126528 1208 135472
26300 1050 127189 1210 135811
26400 1050 127753 1213 136247
26500 1050 128248 1214 136752
26600 1051 128982 1214 137018
26700 1051 129499 1214 137501
26800 1051 130043 1216 137957
26900 1052 130674 1217 138326
27000 1053 131080 1218 138920
27100 1056 131471 1220 139529
27200 1058 131934 1220 140066
27300 1058 132399 1220 140601
27400 1058 132879 1220 141121
27500 1058 133422 1221 141578
27600 1058 133983 1222 142017
27700 1058 134486 1224 142514
27800 1058 134787 1225 143213
27900 1059 135160 1227 143840
28000 1060 135656 1228 144344
28100 1061 136151 1230 144849
28200 1061 136663 1231 145337
28300 1063 137263 1232 145737
28400 1063 137825 1232 146175
28500 1063 138388 1232 146612
28600 1063 138874 1232 147126
28700 1063 139474 1232 147526
28800 1064 139951 1233 148049
28900 1065 140523 1234 148477
29000 1065 141048 1234 148952
29100 1065 141566 1234 149434
29200 1065 142100 1235 149900
29300 1067 142429 1236 150571
29400 1068 143009 1238 150991
29500 1069 143463 1238 151537
29600 1069 143968 1238 152032
29700 1069 144388 1238 152612
29800 1072 144882 1239 153118
29900 1072 145441 1239 153559
30000 1074 145927 1239 154073
30100 1075 146315 1241 154685
30200 1078 146809 1242 155191
30300 1080 147518 1243 155482
30400 1080 147976 1243 156024
