#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.8 0.8]
#! SET kt 1.0
22600 1062 110551 1164 115449
22700 1064 111046 1164 115954
22800 1065 111472 1166 116528
22900 1067 111961 1167 117039
23000 1067 112246 1167 117754
23100 1068 112809 1167 118191
23200 1069 113157 1168 118843
23300 1069 113698 1170 119302
23400 1069 114200 1171 119800
23500 1070 114667 1172 120333
23600 1070 115149 1172 120851
23700 1070 115744 1174 121256
23800 1072 116143 1175 121857
23900 1073 116660 1177 122340
24000 1075 117081 1178 122919
24100 1077 117702 1179 123298
24200 1077 118050 1179 123950
24300 1078 118627 1180 124373
24400 1079 119009 1181 124991
24500 1079 119565 1184 125435
24600 1081 120150 1185 125850
24700 1082 120666 1185 126334
24800 1086 121174 1187 126826
24900 1087 121869 1188 127131
25000 1087 122361 1188 127639
25100 1088 122838 1189 128162
25200 1088 123363 1191 128637
25300 1090 123871 1193 129129
25400 1090 124363 1194 129637
25500 1093 124911 1194 130089
25600 1093 125405 1194 130595
25700 1095 125869 1196 131131
25800 1096 126246 1197 131754
25900 1097 126685 1199 132315
26000 1098 127200 1199 132800
26100 1099 127779 1200 133221
26200 1099 128290 1201 133710
26300 1102 128826 1204 134174
26400 1104 129280 1205 134720
26500 1106 129808 1206 135192
26600 1106 130237 1207 135763
26700 1106 130774 1208 136226
26800 1106 131138 1210 136862
26900 1107 131607 1211 137393
27000 1107 132187 1213 137813
27100 1108 132755 1216 138245
27200 1109 133126 1216 138874
27300 1109 133619 1216 139381
27400 1111 134125 1217 139875
27500 1113 134821 1218 140179
27600 1113 135474 1218 140526
27700 1115 135927 1218 141073
27800 1115 136466 1218 141534
27900 1116 136978 1220 142022
28000 1119 137372 1223 142628
28100 1120 137839 1224 143161
28200 1120 138386 1228 143614
28300 1121 138947 1229 144053
28400 1121 139434 1229 144566
28500 1121 139940 1230 145060
28600 1123 140381 1230 145619
28700 1123 140967 1230 146033
28800 1124 141452 1230 146548
28900 1126 141819 1233 147181
29000 1126 142323 1234 147677
29100 1126 142838 1234 148162
29200 1128 143248 1234 148752
29300 1128 143689 1235 149311
29400 1129 144067 1236 149933
29500 1129 144612 1237 150388
29600 1132 145012 1238 150988
29700 1134 145480 1241 151520
29800 1135 145988 1245 152012
29900 1137 146553 1246 152447
30000 1138 147041 1247 152959
30100 1140 147512 1248 153488
30200 1141 147830 1250 154170
30300 1141 148256 1253 154744
30400 1141 148666 1256 155334
30500 1141 149053 1258 155947
30600 1142 149610 1259 156390
30700 1142 150146 1259 156854
30800 1142 150624 1260 157376
30900 1144 151190 1262 157810
31000 1147 151661 1264 158339
31100 1150 152123 1265 158877
31200 1151 152574 1266 159426
31300 1152 153016 1266 159984
31400 1154 153617 1266 160383
31500 1157 154142 1267 160858
31600 1158 154708 1268 161292
31700 1161 155240 1268 161760
31800 1162 155806 1269 162194
31900 1162 156353 1270 162647
32000 1163 156860 1274 163140
32100 1163 157359 1274 163641
32200 1163 158098 1275 163902
32300 1163 158398 1277 164602
32400 1164 158697 1278 165303
32500 1167 159183 1279 165817
32600 1168 159712 1280 166288
32700 1172 160231 1281 166769
32800 1174 160732 1282 167268
32900 1175 161097 1282 167903
33000 1175 161615 1282 168385
33100 1176 162109 1285 168891
33200 1176 162707 1288 169293
33300 1176 163239 1290 169761
33400 1178 163981 1293 170019
33500 1181 164463 1294 170537
33600 1181 164964 1295 171036
33700 1181 165406 1298 171594
33800 1181 166013 1298 171987
33900 1182 166618 1298 172382
34000 1183 167235 1299 172765
34100 1185 167678 1300 173322
34200 1186 168158 1301 173842
34300 1186 168637 1301 174363
34400 1187 169103 1301 174897
34500 1189 169532 1302 175468
34600 1189 169975 1303 176025
34700 1189 170398 1303 176602
34800 1189 170952 1303 177048
34900 1193 171501 1305 177499
35000 1193 171807 1305 178193
35100 1194 172289 1307 178711
35200 1195 172869 1309 179131
35300 1195 173496 1311 179504
35400 1196 174033 1311 179967
35500 1196 174444 1311 180556
35600 1196 174850 1313 181150
35700 1200 175272 1314 181728
35800 1200 175833 1315 182167
35900 1202 176279 1316 182721
36000 1206 176767 1316 183233
36100 1207 177383 1318 183617
36200 1207 177959 1319 184041
36300 1207 178418 1319 184582
36400 1211 178873 1320 185127
36500 1211 179183 1321 185817
36600 1211 179643 1321 186357
36700 1212 180154 1325 186846
36800 1215 180646 1326 187354
36900 1215 181162 1326 187838
37000 1215 181588 1326 188412
37100 1216 182168 1328 188832
37200 1216 182648 1328 189352
37300 1220 183146 1328 189854
37400 1221 183733 1328 190267
37500 1223 184219 1329 190781
37600 1224 184708 1330 191292
37700 1225 185198 1332 191802
37800 1226 185901 1332 192099
37900 1226 186634 1334 192366
38000 1226 187142 1335 192858
38100 1226 187694 1336 193306
38200 1227 188039 1336 193961
38300 1228 188493 1338 194507
38400 1231 189035 1338 194965
38500 1231 189517 1342 195483
38600 1231 189996 1343 196004
38700 1232 190487 1344 196513
38800 1233 190971 1344 197029
38900 1233 191511 1344 197489
39000 1233 192018 1346 197982
39100 1234 192538 1347 198462
39200 1235 192827 1347 199173
39300 1235 193334 1349 199666
39400 1236 193786 1349 200214
39500 1236 194364 1350 200636
39600 1236 194784 1351 201216
39700 1236 195257 1354 201743
39800 1238 195734 1355 202266
39900 1238 196320 1357 202680
40000 1240 196835 1359 203165
40100 1241 197405 1359 203595
40200 1243 197773 1360 204227
40300 1243 198260 1360 204740
40400 1244 198885 1360 205115
40500 1245 199376 1363 205624
40600 1246 199873 1364 206127
40700 1249 200299 1365 206701
40800 1249 200949 1365 207051
40900 1249 201635 1366 207365
41000 1250 202055 1371 207945
41100 1253 202751 1373 208249
41200 1255 203292 1374 208708
41300 1255 203783 1375 209217
41400 1255 204220 1377 209780
41500 1256 204663 1378 210337
41600 1257 205375 1380 210625
41700 1260 205796 1380 211204
41800 1261 206314 1381 211686
41900 1261 206710 1381 212290
42000 1261 207205 1381 212795
42100 1263 207631 1382 213369
42200 1264 208263 1382 213737
42300 1266 208659 1383 214341
42400 1268 209133 1383 214867
42500 1269 209526 1383 215474
42600 1269 210015 1383 215985
42700 1269 210580 1386 216420
42800 1269 211286 1387 216714
42900 1270 211853 1394 217147
