#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.5 0.5]
#! SET kt 1.0
100 81 222 76 778
200 164 500 178 1500
300 264 850 285 2150
400 354 1310 372 2690
500 419 1858 419 3142
600 465 2293 459 3707
700 493 2678 493 4322
800 517 3120 515 4880
900 530 3587 527 5413
1000 544 3948 537 6052
1100 552 4390 549 6610
1200 566 4836 563 7164
1300 574 5378 574 7622
1400 583 6006 590 7994
1500 597 6527 600 8473
1600 600 7080 610 8920
1700 603 7589 616 9411
1800 609 8040 621 9960
1900 617 8515 631 10485
2000 620 8992 638 11008
2100 626 9469 646 11531
2200 636 9950 659 12050
2300 646 10352 671 12648
2400 651 10835 679 13165
2500 656 11404 683 13596
2600 665 11882 691 14118
2700 668 12343 694 14657
2800 680 12839 703 15161
2900 695 13340 707 15660
3000 705 13835 723 16165
3100 710 14411 729 16589
3200 713 14894 734 17106
3300 717 15317 737 17683
3400 726 15849 748 18151
3500 733 16372 759 18628
3600 739 16965 762 19035
3700 745 17410 773 19590
3800 755 17907 781 20093
3900 761 18420 794 20580
4000 771 18945 799 21055
4100 777 19379 803 21621
4200 784 19878 807 22122
4300 790 20347 814 22653
4400 794 20963 825 23037
4500 794 21510 829 23490
4600 797 21999 840 24001
4700 803 22463 847 24537
4800 811 22952 856 25048
4900 819 23484 865 25516
5000 825 23988 874 26012
5100 834 24497 879 26503
5200 836 24962 879 27038
5300 843 25455 887 27545
5400 851 25974 897 28026
5500 867 26365 907 28635
5600 871 26852 912 29148
5700 874 27394 919 29606
5800 882 27886 922 30114
5900 888 28398 932 30602
6000 891 28942 942 31058
6100 896 29401 954 31599
6200 903 30030 960 31970
6300 913 30564 964 32436
6400 919 31012 973 32988
6500 923 31470 980 33530
6600 935 32031 986 33969
6700 941 32516 994 34484
6800 947 33007 1002 34993
6900 950 33549 1006 35451
7000 955 34087 1016 35913
7100 963 34507 1024 36493
7200 967 34960 1029 37040
7300 977 35515 1036 37485
7400 980 36024 1044 37976
7500 987 36447 1057 38553
7600 993 36987 1067 39013
7700 996 37433 1075 39567
7800 1004 37902 1079 40098
7900 1009 38412 1087 40588
8000 1011 38881 1091 41119
8100 1018 39476 1097 41524
8200 1026 39989 1105 42011
8300 1036 40554 1114 42446
