#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.1
#! SET kernel_bandwidth [0.05 0.05]
#! SET kt 1.0
27200 49 1422 57 1298
27300 49 1425 57 1305
27400 51 1430 57 1310
27500 51 1433 57 1317
27600 51 1438 57 1322
27700 51 1443 58 1327
27800 52 1448 58 1332
27900 52 1452 58 1338
28000 52 1456 58 1344
28100 52 1460 59 1350
28200 52 1464 59 1356
28300 53 1470 59 1360
28400 53 1475 59 1365
28500 53 1480 60 1370
28600 53 1485 60 1375
28700 53 1490 60 1380
28800 53 1496 60 1384
28900 53 1503 60 1387
29000 55 1508 60 1392
29100 55 1512 60 1398
29200 56 1518 60 1402
29300 56 1522 60 1408
29400 56 1528 60 1412
29500 56 1532 60 1418
29600 56 1536 61 1424
29700 56 1539 61 1431
29800 56 1545 61 1435
29900 57 1551 61 1439
30000 57 1558 61 1442
30100 57 1563 61 1447
30200 57 1568 61 1452
30300 58 1573 61 1457
30400 58 1580 61 1460
30500 58 1584 61 1466
30600 58 1588 61 1472
30700 58 1596 61 1474
30800 58 1600 61 1480
30900 58 1604 62 1486
31000 58 1611 62 1489
31100 58 1617 62 1493
31200 58 1622 62 1498
31300 58 1628 62 1502
31400 58 1635 62 1505
31500 58 1639 64 1511
31600 58 1644 64 1516
31700 58 1649 65 1521
31800 58 1653 65 1527
31900 58 1657 65 1533
32000 58 1661 66 1539
32100 58 1668 66 1542
32200 58 1674 66 1546
32300 59 1678 67 1552
32400 59 1683 67 1557
32500 59 1686 67 1564
32600 59 1691 67 1569
32700 59 1696 67 1574
32800 60 1701 67 1579
32900 60 1707 67 1583
33000 60 1712 67 1588
33100 61 1718 68 1592
33200 62 1724 68 1596
33300 63 1729 68 1601
33400 63 1735 68 1605
33500 63 1742 68 1608
33600 63 1749 69 1611
33700 63 1754 69 1616
33800 63 1758 69 1622
33900 63 1764 69 1626
34000 63 1771 69 1629
34100 63 1776 69 1634
34200 63 1782 69 1638
34300 63 1787 69 1643
34400 64 1793 70 1647
34500 64 1799 70 1651
34600 64 1802 70 1658
34700 64 1807 71 1663
34800 64 1812 71 1668
34900 64 1817 72 1673
35000 64 1822 72 1678
35100 64 1825 72 1685
35200 64 1828 72 1692
35300 64 1834 72 1696
35400 65 1840 72 1700
35500 65 1845 72 1705
35600 65 1850 72 1710
35700 65 1854 72 1716
35800 65 1860 72 1720
35900 65 1865 73 1725
36000 66 1869 73 1731
36100 68 1874 73 1736
36200 68 1879 73 1741
36300 68 1884 73 1746
36400 68 1890 74 1750
36500 68 1895 74 1755
36600 68 1899 74 1761
36700 68 1904 74 1766
36800 68 1908 74 1772
36900 68 1913 74 1777
37000 68 1917 74 1783
37100 68 1922 74 1788
37200 68 1928 74 1792
37300 68 1933 74 1797
37400 68 1940 74 1800
37500 68 1944 74 1806
37600 68 1947 74 1813
37700 68 1951 75 1819
37800 68 1953 75 1827
37900 68 1957 75 1833
38000 68 1960 75 1840
38100 68 1965 75 1845
38200 68 1968 75 1852
38300 68 1974 75 1856
38400 68 1979 75 1861
38500 68 1984 75 1866
38600 68 1989 76 1871
38700 68 1993 76 1877
38800 68 1997 76 1883
38900 68 2003 76 1887
39000 68 2009 76 1891
39100 68 2014 76 1896
39200 68 2019 76 1901
39300 68 2024 76 1906
39400 69 2028 76 1912
39500 70 2033 76 1917
39600 70 2038 76 1922
39700 70 2042 76 1928
39800 70 2046 76 1934
39900 70 2051 76 1939
40000 71 2058 76 1942
40100 72 2065 77 1945
40200 72 2073 77 1947
40300 72 2077 78 1953
40400 72 2082 78 1958
40500 73 2088 78 1962
40600 73 2094 78 1966
40700 74 2102 78 1968
40800 74 2109 78 1971
40900 74 2116 78 1974
41000 74 2122 78 1978
41100 74 2128 78 1982
41200 75 2133 78 1987
41300 76 2138 78 1992
41400 76 2143 79 1997
41500 76 2151 79 1999
41600 78 2159 79 2001
41700 78 2166 79 2004
41800 78 2173 79 2007
41900 79 2179 79 2011
42000 80 2187 79 2013
42100 80 2193 80 2017
42200 80 2196 80 2024
42300 80 2200 81 2030
42400 81 2206 81 2034
42500 81 2211 81 2039
42600 81 2217 81 2043
42700 82 2220 81 2050
42800 82 2224 81 2056
42900 82 2229 81 2061
43000 82 2235 81 2065
43100 82 2240 81 2070
43200 82 2245 81 2075
43300 82 2249 82 2081
43400 82 2253 82 2087
43500 82 2259 82 2091
43600 82 2262 82 2098
43700 82 2265 82 2105
43800 82 2271 82 2109
43900 83 2275 82 2115
44000 83 2280 82 2120
44100 83 2285 82 2125
44200 83 2290 82 2130
44300 83 2292 82 2138
44400 83 2296 82 2144
44500 83 2302 82 2148
44600 83 2309 83 2151
44700 83 2314 83 2156
44800 83 2318 83 2162
44900 83 2323 83 2167
45000 84 2328 83 2172
45100 84 2335 84 2175
45200 84 2340 84 2180
45300 84 2345 84 2185
45400 85 2353 84 2187
45500 85 2360 85 2190
45600 85 2366 85 2194
45700 85 2372 85 2198
45800 85 2377 85 2203
45900 85 2383 85 2207
46000 85 2389 85 2211
46100 85 2392 85 2218
46200 85 2397 85 2223
46300 85 2402 86 2228
46400 85 2408 86 2232
46500 85 2414 86 2236
46600 85 2420 86 2240
46700 85 2427 86 2243
46800 85 2434 86 2246
46900 85 2440 86 2250
47000 85 2445 86 2255
47100 85 2449 86 2261
47200 85 2455 86 2265
47300 85 2461 86 2269
47400 85 2467 86 2273
47500 86 2474 86 2276
47600 86 2482 86 2278
47700 86 2489 86 2281
47800 86 2496 87 2284
47900 86 2501 87 2289
48000 86 2507 87 2293
48100 86 2512 87 2298
48200 86 2518 87 2302
48300 86 2524 87 2306
48400 86 2529 87 2311
48500 87 2535 87 2315
48600 87 2541 87 2319
48700 87 2545 87 2325
48800 88 2552 87 2328
48900 88 2559 87 2331
49000 89 2566 87 2334
49100 89 2572 87 2338
49200 90 2577 87 2343
49300 90 2582 87 2348
49400 90 2587 87 2353
49500 90 2593 87 2357
49600 90 2597 87 2363
49700 91 2604 88 2366
49800 91 2609 88 2371
49900 91 2615 88 2375
50000 91 2620 88 2380
50100 91 2625 88 2385
