#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.4 0.4]
#! SET kt 1.0
100 93 261 77 739
200 181 585 182 1415
300 276 953 286 2047
400 364 1411 376 2589
500 432 1913 438 3087
600 485 2405 480 3595
700 514 2830 517 4170
800 544 3328 537 4672
900 555 3806 546 5194
1000 566 4236 555 5764
1100 575 4721 568 6279
1200 584 5274 588 6726
1300 600 5784 594 7216
1400 615 6242 602 7758
1500 622 6661 611 8339
1600 635 7131 615 8869
1700 638 7596 620 9404
1800 645 8084 628 9916
1900 657 8517 637 10483
2000 667 8978 647 11022
2100 678 9462 656 11538
2200 692 9953 662 12047
2300 702 10463 675 12537
2400 710 10895 688 13105
2500 718 11384 697 13616
2600 731 11899 706 14101
2700 738 12440 712 14560
2800 757 12970 727 15030
2900 767 13416 733 15584
3000 779 13939 743 16061
3100 787 14492 749 16508
3200 793 15010 765 16990
3300 803 15493 771 17507
3400 817 16007 781 17993
3500 823 16530 789 18470
3600 825 17107 793 18893
3700 832 17595 799 19405
3800 842 18111 808 19889
3900 853 18625 815 20375
4000 865 19124 824 20876
4100 875 19613 829 21387
4200 879 20059 840 21941
4300 884 20459 848 22541
4400 889 20979 859 23021
4500 896 21479 866 23521
4600 909 22005 878 23995
4700 915 22508 881 24492
4800 931 22975 895 25025
4900 935 23444 903 25556
5000 957 23998 915 26002
5100 966 24516 921 26484
5200 969 25002 928 26998
5300 979 25411 938 27589
5400 991 25911 947 28089
5500 1007 26465 959 28535
5600 1018 27012 968 28988
5700 1030 27611 977 29389
5800 1041 28161 988 29839
5900 1051 28720 995 30280
6000 1060 29237 1000 30763
6100 1067 29760 1004 31240
6200 1076 30205 1020 31795
6300 1081 30738 1028 32262
6400 1094 31211 1039 32789
6500 1100 31678 1050 33322
6600 1110 32202 1070 33798
6700 1116 32802 1079 34198
6800 1123 33355 1092 34645
6900 1132 33823 1097 35177
7000 1140 34403 1104 35597
7100 1149 34920 1109 36080
7200 1155 35440 1123 36560
7300 1166 35873 1140 37127
7400 1171 36358 1148 37642
7500 1181 36824 1162 38176
7600 1197 37417 1174 38583
7700 1208 37922 1185 39078
7800 1218 38482 1197 39518
7900 1231 38986 1202 40014
8000 1241 39565 1208 40435
8100 1249 40102 1211 40898
8200 1259 40603 1230 41397
8300 1267 41075 1237 41925
8400 1275 41544 1245 42456
8500 1288 42029 1256 42971
8600 1294 42499 1265 43501
8700 1307 42983 1280 44017
8800 1317 43479 1290 44521
8900 1326 44013 1298 44987
9000 1330 44572 1305 45428
9100 1335 45020 1312 45980
9200 1346 45502 1316 46498
9300 1357 46038 1323 46962
9400 1366 46545 1331 47455
9500 1379 47030 1340 47970
9600 1386 47546 1347 48454
9700 1399 48081 1354 48919
9800 1407 48599 1363 49401
9900 1413 49117 1371 49883
10000 1418 49584 1381 50416
10100 1434 50033 1392 50967
10200 1444 50544 1400 51456
10300 1456 50927 1413 52073
10400 1467 51389 1417 52611
10500 1472 51933 1429 53067
10600 1479 52486 1440 53514
10700 1484 52990 1453 54010
10800 1496 53504 1459 54496
10900 1503 53941 1467 55059
11000 1518 54532 1489 55468
11100 1531 55037 1497 55963
11200 1536 55585 1503 56415
11300 1543 56125 1510 56875
11400 1552 56590 1513 57410
11500 1554 57058 1521 57942
11600 1564 57608 1532 58392
11700 1577 58083 1537 58917
11800 1585 58517 1544 59483
11900 1589 59003 1552 59997
12000 1605 59549 1565 60451
12100 1618 60036 1578 60964
12200 1631 60512 1598 61488
12300 1653 60991 1605 62009
12400 1660 61461 1608 62539
12500 1669 62016 1612 62984
12600 1684 62475 1633 63525
12700 1693 62955 1642 64045
12800 1702 63391 1649 64609
12900 1715 63892 1662 65108
13000 1731 64390 1674 65610
13100 1739 64811 1683 66189
13200 1749 65343 1698 66657
13300 1760 65835 1710 67165
13400 1768 66307 1715 67693
13500 1777 66783 1727 68217
13600 1789 67254 1738 68746
13700 1795 67791 1752 69209
13800 1800 68265 1761 69735
13900 1813 68733 1771 70267
14000 1829 69196 1780 70804
14100 1841 69639 1788 71361
14200 1851 70099 1799 71901
14300 1861 70552 1811 72448
14400 1869 71102 1816 72898
14500 1883 71655 1829 73345
14600 1895 72216 1841 73784
14700 1909 72773 1848 74227
14800 1922 73270 1860 74730
14900 1935 73796 1874 75204
15000 1952 74228 1883 75772
15100 1958 74705 1893 76295
15200 1965 75223 1905 76777
15300 1976 75767 1919 77233
15400 1986 76266 1926 77734
15500 1996 76779 1939 78221
15600 2006 77211 1957 78789
15700 2014 77629 1964 79371
15800 2026 78101 1977 79899
15900 2043 78607 1989 80393
16000 2053 79017 1999 80983
16100 2066 79490 2010 81510
16200 2076 79994 2017 82006
16300 2085 80511 2032 82489
16400 2102 81030 2046 82970
16500 2116 81540 2055 83460
16600 2131 82009 2069 83991
16700 2139 82515 2075 84485
16800 2149 83032 2091 84968
16900 2161 83553 2100 85447
17000 2166 84058 2112 85942
17100 2173 84548 2121 86452
17200 2183 85065 2130 86935
17300 2191 85525 2138 87475
17400 2200 86048 2149 87952
17500 2211 86503 2158 88497
17600 2222 87026 2168 88974
17700 2237 87563 2178 89437
17800 2244 88017 2182 89983
17900 2252 88593 2189 90407
18000 2258 89010 2197 90990
18100 2272 89466 2209 91534
18200 2282 90024 2212 91976
18300 2294 90535 2221 92465
18400 2306 91087 2236 92913
18500 2318 91642 2242 93358
18600 2332 92207 2249 93793
18700 2338 92716 2258 94284
18800 2348 93264 2261 94736
18900 2357 93773 2275 95227
19000 2365 94204 2279 95796
19100 2378 94636 2288 96364
19200 2392 95108 2301 96892
19300 2404 95506 2315 97494
19400 2416 96042 2323 97958
19500 2427 96419 2333 98581
19600 2437 96921 2349 99079
19700 2447 97327 2355 99673
19800 2453 97747 2361 100253
19900 2460 98153 2373 100847
20000 2468 98700 2378 101300
20100 2479 99257 2386 101743
20200 2488 99790 2398 102210
20300 2493 100285 2406 102715
20400 2503 100839 2412 103161
20500 2513 101310 2419 103690
20600 2526 101746 2430 104254
20700 2537 102177 2439 104823
20800 2555 102669 2449 105331
20900 2568 103136 2460 105864
21000 2582 103595 2472 106405
21100 2592 104065 2482 106935
21200 2600 104558 2487 107442
21300 2614 105079 2498 107921
21400 2622 105572 2508 108428
21500 2633 106036 2521 108964
21600 2642 106542 2528 109458
21700 2654 107031 2539 109969
21800 2665 107543 2547 110457
21900 2670 108018 2553 110982
22000 2675 108534 2564 111466
22100 2685 109038 2569 111962
22200 2695 109564 2581 112436
22300 2701 110068 2588 112932
22400 2715 110502 2598 113498
22500 2721 110984 2603 114016
22600 2729 111467 2610 114533
22700 2738 112001 2615 114999
22800 2744 112486 2624 115514
22900 2759 113027 2640 115973
23000 2769 113548 2648 116452
23100 2778 114062 2658 116938
23200 2786 114585 2667 117415
23300 2791 115038 2671 117962
23400 2800 115459 2683 118541
23500 2813 115887 2695 119113
23600 2819 116324 2700 119676
23700 2825 116844 2710 120156
23800 2833 117403 2716 120597
23900 2836 117909 2724 121091
24000 2845 118445 2732 121555
24100 2856 118921 2742 122079
24200 2869 119413 2746 122587
24300 2884 120023 2754 122977
24400 2891 120551 2762 123449
24500 2897 121025 2775 123975
24600 2905 121623 2784 124377
24700 2915 122100 2789 124900
24800 2919 122543 2798 125457
24900 2926 122980 2809 126020
25000 2932 123433 2822 126567
25100 2941 123862 2833 127138
25200 2949 124338 2844 127662
25300 2958 124810 2852 128190
25400 2977 125266 2864 128734
25500 2992 125761 2875 129239
25600 3006 126270 2884 129730
25700 3015 126768 2897 130232
25800 3025 127197 2906 130803
25900 3034 127748 2916 131252
26000 3039 128248 2926 131752
26100 3049 128708 2938 132292
26200 3064 129171 2953 132829
26300 3073 129649 2961 133351
26400 3083 130260 2970 133740
26500 3088 130850 2977 134150
26600 3095 131357 2984 134643
26700 3101 131778 2991 135222
26800 3112 132342 2999 135658
26900 3119 132843 3005 136157
27000 3129 133319 3011 136681
27100 3137 133777 3024 137223
27200 3142 134277 3034 137723
27300 3153 134774 3044 138226
27400 3161 135253 3047 138747
27500 3172 135746 3059 139254
27600 3187 136135 3067 139865
27700 3202 136649 3077 140351
27800 3211 137152 3080 140848
27900 3220 137615 3088 141385
28000 3226 138174 3091 141826
28100 3233 138610 3101 142390
28200 3241 139044 3111 142956
28300 3249 139550 3118 143450
28400 3261 140077 3128 143923
28500 3268 140530 3133 144470
28600 3272 140971 3143 145029
28700 3286 141412 3151 145588
28800 3294 141910 3162 146090
28900 3301 142395 3169 146605
29000 3313 142891 3174 147109
29100 3322 143440 3181 147560
29200 3331 143935 3191 148065
29300 3347 144408 3198 148592
29400 3353 144871 3209 149129
29500 3362 145355 3219 149645
29600 3369 145805 3234 150195
29700 3382 146287 3242 150713
29800 3393 146767 3254 151233
29900 3404 147244 3267 151756
30000 3410 147740 3272 152260
30100 3416 148188 3281 152812
30200 3424 148623 3287 153377
30300 3431 149079 3291 153921
30400 3442 149574 3301 154426
30500 3454 150116 3309 154884
30600 3462 150534 3313 155466
30700 3468 151065 3324 155935
30800 3477 151562 3331 156438
30900 3479 152107 3336 156893
31000 3488 152569 3347 157431
31100 3498 153026 3354 157974
31200 3509 153456 3361 158544
31300 3515 153869 3375 159131
31400 3528 154344 3386 159656
31500 3536 154873 3397 160127
31600 3548 155374 3402 160626
31700 3556 155968 3408 161032
31800 3570 156426 3423 161574
31900 3583 156911 3435 162089
32000 3596 157395 3444 162605
32100 3607 157920 3454 163080
32200 3616 158316 3461 163684
32300 3620 158773 3469 164227
32400 3637 159287 3477 164713
32500 3639 159744 3484 165256
32600 3644 160256 3489 165744
32700 3650 160728 3498 166272
32800 3659 161236 3504 166764
32900 3674 161739 3509 167261
33000 3685 162260 3525 167740
33100 3695 162666 3536 168334
33200 3705 163179 3547 168821
33300 3714 163608 3554 169392
33400 3720 164135 3565 169865
33500 3728 164607 3576 170393
33600 3731 165141 3586 170859
33700 3737 165572 3594 171428
33800 3743 166036 3598 171964
33900 3756 166463 3606 172537
34000 3761 166911 3616 173089
34100 3775 167438 3632 173562
34200 3786 167938 3644 174062
34300 3800 168420 3655 174580
34400 3815 168913 3665 175087
34500 3827 169398 3681 175602
34600 3839 169899 3688 176101
34700 3848 170357 3702 176643
34800 3855 170883 3713 177117
34900 3870 171446 3720 177554
35000 3883 171881 3723 178119
35100 3901 172386 3736 178614
35200 3911 172900 3741 179100
35300 3920 173360 3753 179640
35400 3930 173833 3762 180167
35500 3940 174310 3776 180690
35600 3950 174808 3794 181192
