#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.4 0.4]
#! SET kt 1.0
100 85 351 89 649
200 172 548 191 1452
300 258 833 309 2167
400 329 1227 405 2773
500 388 1360 489 3640
600 467 1540 594 4460
700 539 1809 666 5191
800 603 2151 732 5849
900 648 2548 767 6452
1000 674 2987 798 7013
1100 699 3490 816 7510
1200 711 3989 825 8011
1300 715 4481 836 8519
1400 721 4989 846 9011
1500 725 5409 849 9591
1600 731 5810 855 10190
1700 736 6407 860 10593
1800 738 7015 864 10985
1900 741 7525 869 11475
2000 747 8048 875 11952
2100 754 8614 882 12386
2200 762 9134 883 12866
2300 772 9788 888 13212
2400 778 10232 893 13768
2500 778 10728 900 14272
2600 782 11244 904 14756
2700 788 11621 909 15379
2800 795 12018 921 15982
2900 802 12569 927 16431
3000 811 13136 933 16864
3100 815 13655 936 17345
3200 820 14147 942 17853
3300 827 14689 946 18311
3400 832 15154 952 18846
3500 836 15686 959 19314
3600 838 16226 965 19774
3700 840 16776 972 20224
3800 845 17368 978 20632
3900 854 17880 990 21120
4000 864 18351 997 21649
4100 870 18926 1001 22074
4200 874 19426 1006 22574
4300 881 19835 1010 23165
4400 886 20353 1013 23647
4500 890 20948 1017 24052
4600 894 21352 1020 24648
4700 898 21907 1026 25093
4800 902 22375 1034 25625
4900 905 22884 1037 26116
5000 912 23328 1042 26672
5100 914 23779 1045 27221
5200 922 24345 1052 27655
5300 931 24840 1056 28160
5400 938 25292 1065 28708
5500 947 25822 1073 29178
5600 950 26362 1078 29638
5700 953 26877 1088 30123
5800 958 27456 1094 30544
5900 960 27936 1098 31064
6000 966 28456 1103 31544
6100 974 28978 1112 32022
6200 981 29572 1120 32428
6300 988 30086 1123 32914
6400 992 30545 1129 33455
6500 1000 31008 1130 33992
6600 1010 31494 1140 34506
6700 1018 31912 1144 35088
6800 1027 32341 1152 35659
6900 1029 32773 1155 36227
7000 1036 33214 1159 36786
7100 1040 33737 1162 37263
7200 1044 34307 1167 37693
7300 1051 34889 1171 38111
7400 1054 35424 1172 38576
7500 1059 35917 1177 39083
7600 1068 36420 1189 39580
7700 1072 36837 1194 40163
7800 1079 37321 1199 40679
7900 1082 37899 1203 41101
8000 1085 38462 1207 41538
8100 1088 38960 1212 42040
8200 1094 39513 1220 42487
8300 1098 39922 1223 43078
8400 1102 40473 1223 43527
8500 1107 40897 1230 44103
8600 1114 41410 1233 44590
8700 1119 41853 1238 45147
8800 1123 42323 1245 45677
8900 1129 42949 1250 46051
9000 1133 43381 1254 46619
9100 1136 43941 1261 47059
9200 1139 44394 1268 47606
9300 1146 44916 1273 48084
9400 1151 45429 1277 48571
9500 1159 45971 1283 49029
9600 1170 46525 1287 49475
9700 1174 46977 1292 50023
9800 1177 47474 1294 50526
9900 1180 47950 1296 51050
10000 1184 48365 1300 51635
10100 1190 48733 1304 52267
10200 1193 49229 1308 52771
10300 1198 49660 1312 53340
10400 1200 50107 1316 53893
10500 1208 50580 1323 54420
10600 1210 51104 1327 54896
10700 1215 51572 1331 55428
10800 1219 51985 1336 56015
10900 1225 52436 1340 56564
11000 1232 52923 1344 57077
11100 1237 53516 1351 57484
11200 1239 54020 1352 57980
11300 1243 54435 1355 58565
11400 1245 55075 1363 58925
11500 1251 55530 1369 59470
11600 1257 56027 1377 59973
11700 1264 56509 1380 60491
11800 1272 56983 1384 61017
11900 1275 57454 1388 61546
12000 1284 57988 1393 62012
12100 1291 58533 1403 62467
12200 1299 58997 1409 63003
12300 1306 59522 1414 63478
12400 1309 59978 1419 64022
12500 1310 60527 1423 64473
12600 1317 61084 1429 64916
12700 1326 61567 1438 65433
12800 1329 62088 1443 65912
12900 1335 62514 1448 66486
13000 1340 62969 1458 67031
13100 1345 63584 1462 67416
13200 1354 64085 1471 67915
13300 1364 64496 1482 68504
13400 1368 64997 1488 69003
13500 1371 65485 1494 69515
13600 1379 66020 1501 69980
13700 1384 66458 1506 70542
13800 1387 67018 1511 70982
13900 1393 67590 1517 71410
14000 1403 68158 1521 71842
14100 1411 68630 1523 72370
14200 1415 69206 1528 72794
14300 1422 69640 1534 73360
14400 1429 70100 1537 73900
14500 1433 70585 1544 74415
14600 1438 71056 1546 74944
