#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [1. 1.]
#! SET kt 1.0
100 60 172 58 828
200 123 428 135 1572
300 187 739 226 2261
400 266 1134 302 2866
500 316 1619 352 3381
600 362 2155 386 3845
700 389 2735 418 4265
800 415 3264 443 4736
900 434 3699 464 5301
1000 450 4121 477 5879
1100 465 4506 488 6494
1200 483 4913 508 7087
1300 500 5341 523 7659
1400 518 5787 533 8213
1500 531 6234 545 8766
1600 536 6666 556 9334
1700 541 7103 558 9897
1800 544 7555 564 10445
1900 548 8019 568 10981
2000 550 8515 572 11485
2100 552 8922 576 12078
2200 562 9439 580 12561
2300 566 10004 586 12996
2400 569 10513 591 13487
2500 571 11063 592 13937
2600 573 11584 592 14416
2700 574 12004 593 14996
2800 578 12412 596 15588
2900 580 12806 598 16194
3000 586 13293 601 16707
3100 587 13821 603 17179
3200 590 14351 606 17649
3300 590 14869 608 18131
3400 595 15260 613 18740
3500 596 15764 614 19236
3600 596 16311 614 19689
3700 598 16840 617 20160
3800 598 17261 618 20739
3900 599 17788 618 21212
4000 602 18291 619 21709
4100 604 18814 621 22186
4200 605 19269 621 22731
4300 607 19802 623 23198
4400 607 20326 624 23674
4500 607 20933 627 24067
4600 609 21453 627 24547
4700 609 21886 629 25114
4800 610 22325 631 25675
4900 612 22880 634 26120
5000 615 23418 637 26582
5100 616 23853 638 27147
5200 616 24413 638 27587
5300 619 24955 643 28045
5400 621 25437 646 28563
5500 621 25916 646 29084
5600 622 26327 648 29673
5700 622 26934 648 30066
5800 625 27542 650 30458
5900 625 27928 651 31072
6000 628 28240 653 31760
6100 629 28673 655 32327
6200 630 29126 658 32874
6300 634 29602 660 33398
6400 635 30076 663 33924
6500 637 30643 664 34357
6600 637 31232 664 34768
6700 641 31797 665 35203
6800 645 32338 666 35662
6900 647 32798 669 36202
7000 647 33355 672 36645
7100 649 33835 675 37165
7200 650 34468 677 37532
7300 652 35039 677 37961
7400 654 35450 678 38550
7500 657 35845 682 39155
7600 659 36294 688 39706
7700 662 36730 691 40270
7800 668 37179 694 40821
7900 668 37605 696 41395
8000 670 38085 699 41915
8100 671 38539 701 42461
8200 671 39044 703 42956
8300 673 39501 706 43499
8400 678 39991 709 44009
8500 680 40505 710 44495
8600 681 40986 713 45014
8700 683 41595 714 45405
8800 685 42087 714 45913
8900 689 42606 715 46394
9000 690 42949 717 47051
9100 693 43555 720 47445
9200 694 44094 720 47906
9300 695 44663 722 48337
9400 699 45169 724 48831
9500 701 45679 729 49321
9600 703 46303 729 49697
9700 705 46824 730 50176
9800 706 47233 731 50767
9900 708 47650 734 51350
10000 708 48281 736 51719
10100 710 48857 738 52143
10200 715 49396 739 52604
10300 716 49804 740 53196
10400 717 50306 740 53694
10500 718 50726 741 54274
10600 721 51177 741 54823
10700 722 51646 741 55354
10800 723 52029 743 55971
10900 725 52484 745 56516
11000 729 52817 746 57183
11100 731 53303 752 57697
11200 731 53739 752 58261
11300 733 54131 753 58869
11400 737 54808 753 59192
11500 738 55316 753 59684
11600 738 55846 754 60154
11700 742 56460 756 60540
11800 744 56946 764 61054
11900 747 57320 766 61680
12000 749 57687 771 62313
12100 751 58177 775 62823
12200 752 58787 782 63213
12300 755 59390 785 63610
12400 757 59871 787 64129
12500 760 60180 788 64820
12600 761 60741 788 65259
12700 761 61192 788 65808
12800 765 61618 793 66382
12900 767 62029 794 66971
13000 768 62488 796 67512
13100 773 62905 801 68095
13200 773 63384 802 68616
13300 778 63873 805 69127
13400 783 64423 806 69577
13500 788 65043 811 69957
13600 789 65546 811 70454
13700 789 66065 812 70935
13800 792 66517 813 71483
13900 793 66971 814 72029
14000 800 67457 820 72543
14100 804 67881 821 73119
14200 804 68364 822 73636
14300 804 68951 822 74049
14400 808 69552 827 74448
14500 808 70025 830 74975
14600 812 70445 831 75555
14700 812 71123 833 75877
14800 815 71611 834 76389
14900 816 72077 835 76923
15000 819 72693 835 77307
15100 820 73270 837 77730
15200 824 73569 840 78431
15300 825 73894 842 79106
15400 825 74194 842 79806
15500 829 74667 845 80333
15600 831 75150 846 80850
15700 833 75429 849 81571
15800 838 75707 852 82293
15900 845 76162 856 82838
16000 847 76765 860 83235
16100 851 77407 860 83593
16200 856 77941 864 84059
16300 860 78536 867 84464
16400 860 79061 871 84939
16500 860 79616 873 85384
16600 864 80132 880 85868
16700 867 80698 884 86302
16800 868 81209 886 86791
16900 868 81762 887 87238
17000 868 82059 888 87941
17100 873 82558 895 88442
17200 874 83139 898 88861
17300 875 83696 898 89304
17400 875 84232 898 89768
17500 876 84723 898 90277
17600 880 85176 902 90824
17700 881 85670 905 91330
17800 884 86241 908 91759
17900 885 86845 911 92155
18000 890 87353 914 92647
18100 892 87822 914 93178
18200 893 88387 918 93613
18300 893 89073 922 93927
18400 895 89671 924 94329
18500 895 90305 929 94695
18600 895 90720 930 95280
18700 895 91276 931 95724
18800 896 91829 933 96171
18900 904 92458 938 96542
19000 908 92968 942 97032
19100 909 93436 944 97564
19200 910 93954 946 98046
19300 915 94511 948 98489
19400 919 95019 952 98981
19500 921 95592 957 99408
19600 924 96164 960 99836
19700 925 96697 962 100303
19800 925 97199 964 100801
19900 930 97587 966 101413
20000 933 97929 969 102071
20100 935 98402 971 102598
20200 940 98908 973 103092
20300 944 99415 975 103585
20400 944 99880 979 104120
20500 948 100245 979 104755
20600 950 100809 983 105191
20700 952 101262 984 105738
20800 959 101703 988 106297
20900 962 102218 990 106782
21000 963 102659 991 107341
21100 966 103061 992 107939
21200 970 103596 996 108404
21300 973 104035 999 108965
21400 973 104451 1002 109549
21500 974 104994 1004 110006
21600 977 105310 1007 110690
21700 977 105772 1009 111228
21800 978 106187 1010 111813
21900 980 106727 1013 112273
22000 981 107245 1016 112755
22100 983 107783 1017 113217
22200 986 108179 1017 113821
22300 987 108654 1019 114346
22400 988 109291 1021 114709
22500 988 109846 1023 115154
22600 988 110468 1029 115532
22700 988 111084 1031 115916
22800 992 111645 1033 116355
22900 993 112081 1036 116919
23000 995 112564 1038 117436
