#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.2 0.2]
#! SET kt 1.0
100 68 106 77 894
200 146 272 166 1728
300 231 516 259 2484
400 297 843 332 3157
500 342 1238 375 3762
600 369 1678 405 4322
700 393 2137 426 4863
800 406 2382 450 5618
900 425 2403 478 6597
1000 457 2443 526 7557
1100 502 2515 599 8485
1200 566 2633 700 9367
1300 654 2816 796 10184
1400 728 3093 875 10907
1500 792 3437 941 11563
1600 833 3848 989 12152
1700 843 4210 1009 12790
1800 859 4623 1028 13377
1900 869 5159 1037 13841
2000 876 5772 1046 14228
2100 883 6310 1059 14690
2200 893 6832 1067 15168
2300 904 7377 1081 15623
2400 917 7917 1087 16083
2500 923 8383 1095 16617
2600 931 8962 1100 17038
2700 941 9456 1114 17544
2800 948 9993 1123 18007
2900 960 10442 1130 18558
3000 969 10964 1138 19036
3100 978 11409 1146 19591
3200 980 11935 1150 20065
3300 987 12427 1157 20573
3400 998 12930 1165 21070
3500 1003 13413 1166 21587
3600 1007 13856 1174 22144
3700 1017 14319 1180 22681
3800 1025 14730 1187 23270
3900 1035 15198 1196 23802
4000 1040 15703 1203 24297
4100 1049 16187 1213 24813
4200 1055 16665 1220 25335
4300 1059 17157 1227 25843
4400 1065 17692 1234 26308
4500 1069 18195 1241 26805
4600 1076 18683 1244 27317
4700 1080 19196 1248 27804
4800 1092 19662 1259 28338
4900 1101 20167 1267 28833
5000 1108 20666 1273 29334
5100 1117 21104 1276 29896
5200 1126 21655 1286 30345
5300 1133 22220 1289 30780
5400 1142 22745 1302 31255
5500 1155 23224 1315 31776
5600 1161 23748 1322 32252
5700 1170 24239 1336 32761
5800 1181 24785 1349 33215
5900 1189 25295 1357 33705
6000 1204 25785 1364 34215
6100 1221 26252 1372 34748
6200 1226 26812 1382 35188
6300 1232 27341 1388 35659
6400 1234 27810 1394 36190
6500 1245 28283 1401 36717
6600 1256 28786 1412 37214
6700 1267 29388 1428 37612
