#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.45 0.45]
#! SET kt 1.0
21900 1589 107178 1780 111822
22000 1593 107649 1784 112351
22100 1595 108256 1788 112744
22200 1598 108742 1791 113258
22300 1604 109181 1793 113819
22400 1610 109580 1798 114420
22500 1613 110039 1806 114961
22600 1620 110588 1809 115412
22700 1625 111053 1812 115947
22800 1627 111465 1814 116535
22900 1631 112036 1822 116964
23000 1631 112504 1822 117496
23100 1637 112945 1829 118055
23200 1645 113446 1831 118554
23300 1651 113979 1833 119021
23400 1657 114440 1836 119560
23500 1660 114791 1836 120209
23600 1665 115383 1841 120617
23700 1669 115851 1844 121149
23800 1671 116399 1851 121601
23900 1677 116918 1854 122082
24000 1682 117387 1859 122613
24100 1684 117902 1861 123098
24200 1686 118345 1863 123655
24300 1690 118814 1867 124186
24400 1694 119289 1870 124711
24500 1697 119661 1875 125339
24600 1703 120163 1882 125837
24700 1705 120564 1885 126436
24800 1706 121022 1889 126978
24900 1708 121481 1894 127519
25000 1710 121985 1901 128015
25100 1712 122556 1903 128444
25200 1721 123090 1905 128910
25300 1724 123572 1911 129428
25400 1728 124061 1918 129939
25500 1732 124615 1923 130385
25600 1736 125062 1929 130938
25700 1744 125509 1935 131491
25800 1749 126079 1941 131921
25900 1751 126546 1945 132454
26000 1754 127039 1948 132961
26100 1761 127571 1953 133429
26200 1765 128104 1958 133896
26300 1768 128587 1963 134413
26400 1772 129163 1966 134837
26500 1774 129696 1973 135304
26600 1774 130178 1974 135822
26700 1782 130603 1978 136397
26800 1792 131098 1979 136902
26900 1797 131605 1983 137395
27000 1797 132133 1987 137867
27100 1802 132698 1991 138302
27200 1808 133118 1993 138882
27300 1810 133591 1997 139409
27400 1813 134066 2004 139934
27500 1815 134587 2012 140413
27600 1820 135029 2014 140971
27700 1820 135564 2015 141436
27800 1826 135955 2024 142045
27900 1831 136415 2031 142585
28000 1836 136952 2036 143048
28100 1839 137520 2040 143480
28200 1842 138064 2041 143936
28300 1843 138619 2044 144381
28400 1846 139238 2049 144762
28500 1849 139838 2051 145162
28600 1852 140382 2056 145618
28700 1861 140894 2065 146106
28800 1863 141398 2066 146602
28900 1870 141958 2068 147042
29000 1878 142499 2077 147501
29100 1887 143025 2084 147975
29200 1892 143543 2092 148457
29300 1895 143969 2094 149031
29400 1897 144469 2100 149531
29500 1905 144971 2102 150029
29600 1910 145509 2111 150491
29700 1913 146042 2116 150958
29800 1917 146532 2117 151468
29900 1921 147121 2121 151879
30000 1924 147712 2126 152288
30100 1931 148215 2134 152785
30200 1934 148773 2139 153227
30300 1939 149396 2144 153604
30400 1943 149981 2148 154019
30500 1944 150503 2149 154497
30600 1946 151090 2154 154910
30700 1950 151617 2156 155383
30800 1958 152129 2161 155871
30900 1964 152643 2170 156357
31000 1970 153222 2174 156778
31100 1977 153706 2177 157294
31200 1980 154267 2178 157733
31300 1987 154794 2183 158206
