#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.4 0.4]
#! SET kt 1.0
100 65 100 84 900
200 143 260 172 1740
300 226 507 271 2493
400 293 841 363 3159
500 336 1254 428 3746
600 365 1542 469 4458
700 406 1613 524 5387
800 458 1728 594 6272
900 509 1896 681 7104
1000 558 2128 755 7872
1100 615 2419 820 8581
1200 660 2585 867 9415
1300 698 2717 903 10283
1400 732 2888 947 11112
1500 751 3093 964 11907
1600 760 3397 973 12603
1700 768 3647 982 13353
1800 774 4204 984 13796
1900 783 4655 987 14345
2000 788 5273 991 14727
2100 791 5725 994 15275
2200 796 6241 998 15759
2300 802 6792 999 16208
2400 805 7386 1002 16614
2500 807 7881 1004 17119
2600 811 8394 1007 17606
2700 813 8847 1014 18153
2800 817 9237 1021 18763
2900 821 9670 1023 19330
3000 821 10112 1027 19888
3100 823 10545 1032 20455
3200 826 11041 1034 20959
3300 831 11546 1038 21454
3400 831 12038 1039 21962
3500 834 12392 1039 22608
3600 838 12853 1039 23147
3700 838 13250 1040 23750
3800 842 13614 1041 24386
3900 847 14117 1044 24883
4000 851 14488 1045 25512
4100 851 14985 1047 26015
4200 852 15523 1049 26477
4300 853 16036 1051 26964
4400 857 16495 1056 27505
4500 859 17043 1058 27957
4600 863 17440 1058 28560
4700 865 17843 1058 29157
4800 867 18158 1061 29842
4900 867 18527 1062 30473
5000 871 18999 1064 31001
5100 872 19575 1064 31425
5200 877 20065 1066 31935
5300 881 20495 1070 32505
5400 882 21015 1072 32985
5500 889 21480 1074 33520
5600 890 22023 1077 33977
5700 895 22513 1081 34487
5800 898 23018 1087 34982
5900 903 23604 1091 35396
6000 907 24153 1099 35847
6100 907 24734 1100 36266
6200 913 25254 1101 36746
6300 915 25653 1104 37347
6400 918 26104 1109 37896
6500 919 26518 1109 38482
6600 925 27050 1113 38950
6700 925 27500 1116 39500
6800 927 28044 1120 39956
6900 928 28567 1121 40433
7000 931 29099 1126 40901
7100 933 29610 1126 41390
7200 936 30084 1128 41916
7300 938 30560 1129 42440
7400 940 31106 1129 42894
7500 946 31598 1131 43402
7600 951 32089 1133 43911
7700 956 32555 1135 44445
7800 961 33026 1143 44974
7900 965 33591 1149 45409
8000 968 34212 1154 45788
8100 972 34622 1157 46378
8200 978 35187 1161 46813
8300 982 35657 1163 47343
8400 984 36204 1163 47796
8500 988 36605 1167 48395
8600 993 37050 1170 48950
8700 999 37525 1173 49475
8800 1003 38054 1180 49946
8900 1007 38574 1186 50426
9000 1009 39053 1188 50947
9100 1009 39549 1189 51451
9200 1013 40022 1192 51978
9300 1016 40621 1193 52379
9400 1017 41108 1197 52892
9500 1021 41513 1201 53487
9600 1026 42074 1206 53926
9700 1030 42563 1208 54437
9800 1034 43138 1211 54862
9900 1035 43731 1211 55269
10000 1036 44223 1212 55777
10100 1038 44726 1215 56274
10200 1039 45146 1217 56854
10300 1039 45526 1220 57474
10400 1044 46032 1221 57968
10500 1046 46482 1228 58518
10600 1049 47081 1232 58919
10700 1051 47455 1234 59545
10800 1052 47904 1237 60096
10900 1054 48401 1239 60599
11000 1060 48946 1240 61054
11100 1060 49397 1243 61603
11200 1062 49926 1245 62074
11300 1065 50383 1249 62617
11400 1070 50945 1252 63055
11500 1071 51450 1258 63550
11600 1073 51957 1263 64043
11700 1076 52421 1270 64579
11800 1081 52986 1273 65014
11900 1081 53550 1279 65450
12000 1086 54046 1282 65954
12100 1093 54547 1288 66453
12200 1099 55022 1294 66978
12300 1103 55550 1295 67450
12400 1108 56199 1296 67801
12500 1110 56699 1297 68301
12600 1113 57186 1297 68814
12700 1116 57557 1302 69443
12800 1119 58132 1304 69868
12900 1123 58506 1306 70494
13000 1127 58993 1310 71007
13100 1127 59469 1312 71531
13200 1129 59989 1316 72011
13300 1133 60463 1318 72537
13400 1137 60878 1325 73122
