#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.7 0.7]
#! SET kt 1.0
100 71 122 72 878
200 152 330 179 1670
300 247 621 285 2379
400 338 1013 363 2987
500 394 1426 437 3574
600 454 1628 501 4372
700 522 1877 564 5123
800 582 2197 614 5803
900 620 2572 656 6428
1000 659 2981 685 7019
1100 682 3431 705 7569
1200 697 3901 722 8099
1300 700 4554 725 8446
1400 706 5050 732 8950
1500 709 5541 733 9459
1600 712 5950 738 10050
1700 714 6571 742 10429
1800 714 7227 745 10773
1900 717 7765 746 11235
2000 717 8253 752 11747
2100 720 8711 754 12289
2200 722 9181 757 12819
2300 724 9692 764 13308
2400 727 10334 768 13666
2500 727 10861 770 14139
2600 730 11338 775 14662
2700 732 11883 776 15117
2800 740 12374 780 15626
2900 741 12960 781 16040
3000 743 13404 783 16596
3100 747 13797 787 17203
3200 749 14232 787 17768
3300 751 14748 787 18252
3400 758 15165 791 18835
3500 760 15729 792 19271
3600 760 16145 792 19855
3700 762 16638 793 20362
3800 763 17138 794 20862
3900 765 17668 799 21332
4000 768 18318 800 21682
4100 771 18784 802 22216
4200 772 19355 805 22645
4300 774 19826 806 23174
4400 774 20261 810 23739
4500 776 20664 811 24336
4600 777 21198 816 24802
4700 778 21684 816 25316
4800 783 22136 821 25864
4900 784 22724 823 26276
5000 789 23233 826 26767
5100 791 23702 830 27298
5200 792 24287 831 27713
5300 797 24820 837 28180
5400 800 25255 838 28745
5500 803 25844 841 29156
5600 803 26326 845 29674
5700 804 26925 846 30075
5800 805 27304 849 30696
5900 808 27925 850 31075
6000 810 28457 855 31543
6100 813 28942 858 32058
6200 814 29420 861 32580
6300 814 29918 862 33082
6400 815 30325 864 33675
6500 816 30828 865 34172
6600 821 31282 868 34718
6700 829 31796 872 35204
6800 832 32331 874 35669
6900 833 32949 876 36051
7000 836 33579 879 36421
7100 836 34112 880 36888
7200 836 34660 880 37340
7300 840 35142 884 37858
7400 844 35529 887 38471
7500 845 36078 890 38922
7600 848 36470 895 39530
7700 851 36966 897 40034
7800 863 37438 900 40562
7900 866 37905 902 41095
8000 868 38404 904 41596
8100 869 38947 905 42053
8200 870 39608 906 42392
8300 873 40133 910 42867
8400 873 40700 912 43300
8500 873 41143 914 43857
8600 873 41542 915 44458
8700 875 42042 916 44958
8800 882 42455 917 45545
8900 883 42952 923 46048
9000 885 43430 925 46570
9100 888 43886 927 47114
9200 890 44325 928 47675
9300 893 44969 930 48031
9400 900 45551 933 48449
9500 901 45992 936 49008
9600 902 46456 941 49544
9700 904 46891 946 50109
9800 909 47256 946 50744
9900 910 47801 947 51199
10000 910 48339 947 51661
10100 913 48883 950 52117
10200 916 49341 953 52659
10300 917 49729 955 53271
10400 920 50375 958 53625
10500 921 50818 959 54182
