#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.6 0.6]
#! SET kt 1.0
100 75 195 69 805
200 161 439 163 1561
300 258 782 265 2218
400 344 1236 363 2764
500 395 1617 439 3383
600 447 1960 488 4040
700 488 2321 526 4679
800 511 2713 559 5287
900 531 3102 575 5898
1000 550 3437 588 6563
1100 558 3785 593 7215
1200 569 4267 603 7733
1300 574 4661 608 8339
1400 581 5148 613 8852
1500 582 5695 620 9305
1600 584 6278 628 9722
1700 587 6854 631 10146
1800 591 7355 642 10645
1900 596 7838 645 11162
2000 602 8246 649 11754
2100 605 8724 652 12276
2200 615 9226 655 12774
2300 618 9739 663 13261
2400 623 10196 669 13804
2500 628 10679 677 14321
2600 630 11177 685 14823
2700 634 11636 689 15364
2800 640 12072 697 15928
2900 642 12604 703 16396
3000 650 13239 707 16761
3100 652 13648 713 17352
3200 656 14194 717 17806
3300 659 14701 724 18299
3400 663 15192 733 18808
3500 665 15731 735 19269
3600 667 16236 738 19764
3700 670 16804 740 20196
3800 674 17397 743 20603
3900 677 17956 744 21044
4000 681 18480 753 21520
4100 685 18868 755 22132
4200 690 19368 756 22632
4300 695 19873 762 23127
4400 696 20352 764 23648
4500 703 20876 766 24124
4600 705 21325 770 24675
4700 708 21789 772 25211
4800 716 22343 777 25657
4900 724 22886 785 26114
5000 731 23369 790 26631
5100 735 23840 798 27160
5200 738 24335 801 27665
5300 745 24738 810 28262
5400 746 25285 814 28715
5500 748 25819 818 29181
5600 750 26344 830 29656
5700 754 26855 832 30145
5800 761 27462 837 30538
5900 765 28047 843 30953
6000 774 28659 850 31341
6100 775 29197 853 31803
6200 781 29581 859 32419
6300 782 30174 861 32826
6400 788 30721 866 33279
6500 791 31283 868 33717
6600 793 31731 872 34269
6700 794 32245 877 34755
6800 795 32752 882 35248
6900 797 33226 885 35774
7000 804 33691 892 36309
7100 810 34331 902 36669
7200 810 34868 905 37132
7300 820 35437 912 37563
7400 826 35991 913 38009
7500 836 36474 918 38526
7600 842 36960 923 39040
7700 849 37443 929 39557
7800 860 37939 935 40061
7900 869 38414 941 40586
8000 875 38874 943 41126
8100 878 39277 947 41723
8200 882 39726 952 42274
8300 890 40246 955 42754
8400 895 40774 957 43226
8500 904 41369 961 43631
8600 910 41903 968 44097
8700 912 42410 973 44590
8800 923 42915 979 45085
8900 927 43404 982 45596
9000 932 43968 986 46032
9100 939 44358 987 46642
9200 941 44839 994 47161
9300 945 45409 997 47591
9400 949 45860 999 48140
9500 953 46345 1002 48655
9600 959 46796 1009 49204
9700 961 47347 1016 49653
9800 963 47879 1023 50121
9900 965 48368 1024 50632
10000 967 48878 1028 51122
10100 971 49381 1031 51619
10200 973 49846 1038 52154
10300 977 50338 1043 52662
10400 981 50976 1049 53024
10500 983 51469 1054 53531
10600 984 52065 1060 53935
10700 986 52584 1061 54416
10800 991 53068 1061 54932
10900 997 53638 1064 55362
11000 999 54174 1070 55826
11100 1002 54639 1071 56361
11200 1004 55140 1077 56860
11300 1009 55722 1077 57278
11400 1013 56294 1079 57706
11500 1019 56785 1088 58215
11600 1024 57239 1095 58761
11700 1030 57623 1100 59377
11800 1036 58163 1102 59837
11900 1040 58644 1104 60356
12000 1041 59190 1112 60810
12100 1045 59643 1120 61357
12200 1048 60127 1128 61873
12300 1057 60596 1134 62404
12400 1064 61069 1138 62931
12500 1065 61564 1139 63436
12600 1070 62162 1141 63838
12700 1075 62574 1146 64426
12800 1083 63098 1151 64902
12900 1088 63584 1156 65416
13000 1093 64024 1159 65976
13100 1097 64478 1163 66522
13200 1100 64939 1165 67061
13300 1101 65460 1166 67540
13400 1105 65936 1170 68064
13500 1109 66462 1176 68538
13600 1120 67074 1182 68926
13700 1122 67533 1186 69467
13800 1124 68053 1191 69947
13900 1129 68527 1195 70473
14000 1134 69098 1205 70902
14100 1136 69599 1208 71401
14200 1140 70120 1211 71880
14300 1150 70636 1216 72364
14400 1157 71186 1224 72814
14500 1163 71679 1227 73321
14600 1167 72120 1229 73880
14700 1172 72625 1232 74375
14800 1177 73136 1237 74864
14900 1182 73692 1244 75308
15000 1188 74211 1246 75789
15100 1192 74763 1249 76237
15200 1195 75402 1251 76598
15300 1197 75923 1255 77077
15400 1201 76501 1259 77499
15500 1203 77020 1261 77980
15600 1204 77472 1264 78528
15700 1214 78007 1268 78993
15800 1225 78570 1272 79430
15900 1229 79015 1277 79985
16000 1233 79536 1278 80464
16100 1236 80104 1282 80896
16200 1241 80591 1288 81409
16300 1246 81088 1296 81912
16400 1254 81539 1300 82461
16500 1256 82028 1307 82972
16600 1266 82472 1314 83528
16700 1269 82909 1317 84091
16800 1272 83410 1319 84590
16900 1281 83871 1322 85129
17000 1287 84345 1326 85655
17100 1291 84829 1329 86171
17200 1293 85275 1336 86725
17300 1299 85649 1343 87351
17400 1304 85948 1354 88052
17500 1306 86312 1358 88688
17600 1310 86813 1367 89187
17700 1316 87329 1372 89671
17800 1319 87889 1378 90111
17900 1325 88472 1385 90528
18000 1330 89017 1390 90983
18100 1335 89655 1400 91345
18200 1342 90124 1409 91876
18300 1347 90638 1413 92362
18400 1355 91196 1420 92804
18500 1360 91876 1423 93124
18600 1362 92367 1424 93633
18700 1364 92920 1425 94080
18800 1367 93504 1431 94496
18900 1373 93977 1442 95023
19000 1378 94430 1444 95570
19100 1381 94882 1447 96118
19200 1386 95443 1453 96557
19300 1389 95991 1457 97009
19400 1395 96559 1468 97441
19500 1399 97073 1472 97927
19600 1403 97660 1476 98340
19700 1407 98183 1480 98817
19800 1412 98749 1484 99251
19900 1417 99324 1486 99676
20000 1422 99813 1489 100187
20100 1429 100335 1490 100665
20200 1435 100830 1502 101170
20300 1441 101243 1503 101757
20400 1445 101740 1506 102260
20500 1450 102212 1508 102788
20600 1456 102755 1520 103245
20700 1460 103269 1525 103731
20800 1462 103748 1532 104252
20900 1466 104301 1537 104699
21000 1472 104636 1544 105364
21100 1480 105016 1547 105984
21200 1490 105520 1550 106480
21300 1497 106000 1556 107000
21400 1499 106448 1561 107552
21500 1501 106939 1563 108061
21600 1510 107494 1567 108506
21700 1518 107984 1571 109016
21800 1527 108513 1575 109487
21900 1531 109030 1576 109970
22000 1535 109619 1579 110381
22100 1539 110020 1582 110980
22200 1544 110541 1588 111459
22300 1550 111165 1594 111835
22400 1560 111623 1596 112377
22500 1565 112191 1601 112809
22600 1566 112728 1608 113272
22700 1576 113283 1616 113717
22800 1582 113839 1622 114161
22900 1584 114334 1625 114666
23000 1587 114924 1626 115076
23100 1591 115484 1633 115516
23200 1599 115955 1638 116045
23300 1606 116515 1638 116485
23400 1609 117024 1643 116976
23500 1611 117565 1647 117435
23600 1616 118052 1653 117948
23700 1621 118493 1658 118507
23800 1626 119028 1667 118972
23900 1629 119533 1670 119467
24000 1643 120043 1679 119957
24100 1645 120579 1681 120421
24200 1647 121056 1686 120944
24300 1653 121404 1687 121596
24400 1657 121923 1696 122077
24500 1662 122360 1697 122640
24600 1666 122878 1703 123122
24700 1667 123373 1710 123627
24800 1670 123921 1712 124079
24900 1673 124432 1714 124568
25000 1675 124898 1718 125102
25100 1677 125422 1727 125578
25200 1686 125822 1730 126178
25300 1692 126351 1734 126649
25400 1701 126839 1737 127161
25500 1710 127323 1742 127677
25600 1712 127783 1747 128217
25700 1717 128192 1754 128808
25800 1719 128586 1760 129414
25900 1726 129122 1764 129878
26000 1731 129620 1765 130380
26100 1733 130169 1766 130831
26200 1743 130659 1770 131341
26300 1745 131124 1773 131876
26400 1752 131557 1775 132443
26500 1759 132086 1778 132914
26600 1765 132581 1785 133419
26700 1768 133006 1789 133994
26800 1772 133498 1796 134502
26900 1776 134001 1802 134999
27000 1779 134572 1805 135428
27100 1784 135103 1808 135897
27200 1788 135640 1810 136360
27300 1790 136119 1817 136881
27400 1795 136578 1818 137422
27500 1797 137112 1821 137888
27600 1799 137730 1825 138270
27700 1805 138224 1831 138776
27800 1810 138723 1834 139277
27900 1815 139277 1843 139723
28000 1817 139812 1847 140188
28100 1821 140327 1850 140673
28200 1824 140773 1852 141227
28300 1829 141238 1853 141762
28400 1833 141847 1857 142153
28500 1836 142376 1860 142624
28600 1841 142910 1864 143090
28700 1846 143450 1866 143550
28800 1847 143885 1867 144115
28900 1852 144374 1868 144626
29000 1856 144855 1870 145145
29100 1861 145355 1875 145645
29200 1866 145866 1878 146134
29300 1868 146420 1881 146580
29400 1871 146934 1883 147066
29500 1879 147387 1886 147613
29600 1887 147842 1895 148158
29700 1891 148188 1901 148812
29800 1893 148776 1905 149224
29900 1895 149304 1915 149696
30000 1898 149759 1915 150241
30100 1901 150220 1922 150780
30200 1903 150760 1925 151240
30300 1908 151204 1930 151796
30400 1911 151717 1936 152283
30500 1911 152201 1938 152799
30600 1914 152728 1940 153272
30700 1918 153175 1943 153825
30800 1921 153881 1944 154119
30900 1925 154419 1949 154581
31000 1927 154940 1955 155060
31100 1928 155517 1958 155483
31200 1932 156008 1964 155992
31300 1935 156549 1966 156451
31400 1938 157081 1972 156919
31500 1949 157560 1976 157440
31600 1955 157994 1982 158006
31700 1960 158507 1992 158493
31800 1963 159015 1997 158985
31900 1967 159600 2000 159400
32000 1969 160096 2004 159904
32100 1971 160541 2009 160459
32200 1972 161030 2010 160970
32300 1978 161575 2015 161425
32400 1980 162173 2018 161827
32500 1984 162654 2022 162346
32600 1989 163193 2026 162807
32700 1992 163661 2030 163339
32800 1997 164121 2033 163879
32900 2000 164590 2039 164410
33000 2000 165132 2042 164868
33100 2004 165679 2046 165321
33200 2006 166108 2050 165892
33300 2009 166678 2054 166322
33400 2012 167067 2062 166933
33500 2019 167550 2064 167450
33600 2025 168064 2068 167936
33700 2026 168494 2069 168506
33800 2030 169019 2075 168981
33900 2034 169543 2082 169457
34000 2043 169979 2087 170021
34100 2048 170465 2094 170535
