#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.7 0.7]
#! SET kt 1.0
100 74 161 68 839
200 152 418 160 1582
300 228 767 257 2233
400 300 1202 334 2798
500 350 1707 401 3293
600 382 2186 437 3814
700 413 2594 460 4406
800 435 3083 490 4917
900 451 3529 500 5471
1000 466 3979 521 6021
1100 476 4431 529 6569
1200 484 4906 540 7094
1300 489 5380 547 7620
1400 492 5836 552 8164
1500 498 6397 554 8603
1600 502 6836 560 9164
1700 503 7312 562 9688
1800 508 7746 564 10254
1900 512 8222 569 10778
2000 517 8699 571 11301
2100 520 9329 579 11671
2200 529 9843 584 12157
2300 535 10382 589 12618
2400 541 10998 593 13002
2500 542 11487 596 13513
2600 546 11926 602 14074
2700 546 12390 604 14610
2800 552 12863 606 15137
2900 556 13401 611 15599
3000 561 13881 614 16119
3100 565 14451 619 16549
3200 570 14966 624 17034
3300 573 15480 630 17520
3400 580 15922 636 18078
3500 583 16366 636 18634
3600 584 16841 639 19159
3700 585 17322 644 19678
3800 589 17875 646 20125
3900 594 18413 651 20587
4000 601 18977 658 21023
4100 604 19382 659 21618
4200 605 19961 660 22039
4300 609 20411 662 22589
4400 609 20890 664 23110
4500 612 21326 666 23674
4600 617 21829 666 24171
4700 622 22308 668 24692
4800 624 22856 671 25144
4900 632 23283 676 25717
5000 637 23784 682 26216
5100 638 24239 688 26761
5200 640 24719 690 27281
5300 643 25194 694 27806
5400 647 25624 702 28376
5500 650 26071 704 28929
5600 656 26597 709 29403
5700 660 26987 714 30013
5800 666 27482 719 30518
5900 669 27947 721 31053
6000 673 28433 724 31567
6100 678 28971 728 32029
6200 683 29504 730 32496
6300 688 29994 737 33006
6400 696 30531 743 33469
6500 700 31016 745 33984
6600 701 31446 748 34554
6700 708 31911 754 35089
6800 719 32459 758 35541
6900 719 33006 764 35994
7000 723 33459 765 36541
7100 728 33927 767 37073
7200 731 34352 772 37648
7300 741 34844 779 38156
7400 742 35407 782 38593
7500 747 35940 785 39060
7600 750 36460 787 39540
7700 756 36915 793 40085
7800 761 37488 799 40512
7900 766 38054 802 40946
8000 767 38561 804 41439
8100 774 39077 809 41923
8200 779 39697 813 42303
8300 786 40205 820 42795
8400 789 40726 827 43274
8500 793 41186 831 43814
8600 800 41767 837 44233
8700 804 42157 840 44843
8800 811 42674 844 45326
8900 813 43175 849 45825
9000 815 43601 853 46399
9100 824 44084 859 46916
9200 829 44611 864 47389
9300 834 45118 869 47882
9400 837 45591 875 48409
9500 842 46185 880 48815
9600 846 46727 886 49273
9700 856 47339 890 49661
9800 859 47767 892 50233
9900 860 48274 894 50726
10000 864 48861 896 51139
10100 870 49460 901 51540
10200 878 50073 907 51927
10300 881 50453 908 52547
10400 887 51014 911 52986
10500 890 51608 916 53392
10600 896 52167 927 53833
10700 899 52675 932 54325
10800 906 53224 936 54776
10900 910 53673 941 55327
11000 913 54125 943 55875
11100 916 54560 944 56440
11200 918 55009 950 56991
11300 920 55358 950 57642
11400 922 55870 953 58130
11500 928 56413 956 58587
11600 936 56985 959 59015
11700 940 57461 967 59539
11800 942 57871 972 60129
11900 946 58342 979 60658
12000 952 58864 980 61136
12100 956 59472 987 61528
12200 959 60200 989 61800
12300 967 60776 995 62224
12400 969 61280 999 62720
12500 972 61684 1000 63316
12600 974 62138 1004 63862
12700 984 62747 1008 64253
12800 990 63284 1013 64716
12900 994 63692 1018 65308
13000 997 64143 1022 65857
13100 999 64713 1024 66287
13200 1006 65220 1027 66780
13300 1009 65767 1032 67233
13400 1015 66312 1038 67688
13500 1019 66860 1051 68140
13600 1025 67381 1055 68619
13700 1030 67879 1061 69121
13800 1032 68408 1061 69592
13900 1035 68947 1066 70053
14000 1043 69529 1073 70471
14100 1053 69955 1079 71045
14200 1058 70263 1082 71737
14300 1065 70675 1087 72325
14400 1069 71200 1090 72800
14500 1071 71713 1093 73287
14600 1076 72204 1095 73796
14700 1078 72715 1096 74285
14800 1082 73238 1102 74762
14900 1087 73648 1108 75352
15000 1096 74239 1118 75761
15100 1100 74842 1127 76158
