#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.3 0.3]
#! SET kt 1.0
21500 1649 103713 1887 111287
21600 1655 104278 1892 111722
21700 1658 104748 1898 112252
21800 1661 105156 1904 112844
21900 1664 105584 1908 113416
22000 1665 106110 1914 113890
22100 1667 106684 1921 114316
22200 1671 107166 1921 114834
22300 1676 107720 1927 115280
22400 1681 108198 1936 115802
22500 1681 108647 1938 116353
22600 1686 109076 1944 116924
22700 1691 109601 1951 117399
22800 1693 110146 1954 117854
22900 1697 110718 1960 118282
23000 1697 111314 1962 118686
23100 1701 111816 1970 119184
23200 1708 112310 1982 119690
23300 1713 112780 1986 120220
23400 1715 113371 1991 120629
23500 1719 113829 1993 121171
23600 1720 114328 1996 121672
23700 1729 114810 2002 122190
23800 1738 115204 2006 122796
23900 1743 115695 2011 123305
24000 1748 116165 2016 123835
24100 1751 116638 2022 124362
24200 1753 117059 2024 124941
24300 1757 117501 2025 125499
24400 1764 117927 2028 126073
24500 1767 118498 2037 126502
24600 1774 119001 2039 126999
24700 1778 119475 2040 127525
24800 1781 120006 2044 127994
24900 1781 120525 2044 128475
25000 1782 120988 2045 129012
25100 1785 121434 2049 129566
25200 1793 121964 2054 130036
25300 1797 122489 2062 130511
25400 1802 123061 2068 130939
25500 1808 123548 2075 131452
25600 1814 124031 2080 131969
25700 1815 124509 2084 132491
25800 1820 125040 2089 132960
25900 1825 125473 2092 133527
26000 1829 126077 2096 133923
26100 1833 126529 2103 134471
26200 1838 127040 2109 134960
26300 1847 127591 2116 135409
26400 1851 128187 2122 135813
26500 1855 128723 2128 136277
26600 1862 129266 2131 136734
26700 1864 129668 2134 137332
26800 1866 130086 2137 137914
26900 1868 130471 2143 138529
27000 1870 130961 2149 139039
27100 1875 131530 2155 139470
27200 1875 132049 2160 139951
27300 1879 132529 2163 140471
27400 1884 133041 2166 140959
27500 1888 133619 2169 141381
27600 1889 134143 2170 141857
27700 1896 134600 2171 142400
27800 1903 135070 2174 142930
27900 1909 135546 2177 143454
28000 1915 135976 2182 144024
28100 1919 136463 2186 144537
28200 1923 136926 2189 145074
28300 1925 137479 2191 145521
28400 1937 137864 2193 146136
28500 1940 138320 2196 146680
28600 1941 138887 2202 147113
28700 1945 139408 2205 147592
28800 1949 139887 2211 148113
28900 1954 140210 2216 148790
29000 1962 140709 2230 149291
29100 1970 141227 2235 149773
29200 1973 141746 2238 150254
29300 1977 142268 2244 150732
29400 1979 142765 2246 151235
29500 1981 143155 2254 151845
29600 1986 143499 2260 152501
29700 1990 144117 2265 152883
29800 1993 144550 2267 153450
29900 1996 145142 2271 153858
30000 2003 145614 2274 154386
30100 2011 146199 2277 154801
30200 2019 146700 2280 155300
30300 2024 147243 2289 155757
30400 2026 147735 2291 156265
30500 2028 148189 2294 156811
30600 2034 148504 2300 157496
30700 2036 149003 2304 157997
30800 2042 149514 2306 158486
30900 2046 150031 2309 158969
31000 2052 150529 2315 159471
31100 2055 150962 2317 160038
31200 2060 151463 2323 160537
31300 2064 151891 2332 161109
31400 2071 152383 2337 161617
31500 2076 152823 2344 162177
31600 2080 153332 2350 162668
31700 2083 153858 2354 163142
31800 2088 154411 2357 163589
31900 2090 154955 2362 164045
32000 2092 155461 2364 164539
32100 2095 155918 2368 165082
32200 2095 156473 2369 165527
32300 2103 156948 2372 166052
32400 2103 157443 2376 166557
32500 2107 157898 2380 167102
32600 2110 158502 2386 167498
32700 2119 159046 2388 167954
32800 2125 159540 2392 168460
32900 2126 160072 2396 168928
33000 2131 160525 2398 169475
33100 2133 160995 2401 170005
33200 2138 161506 2402 170494
33300 2139 162019 2406 170981
33400 2141 162534 2409 171466
33500 2143 163035 2416 171965
33600 2147 163498 2421 172502
33700 2148 164099 2425 172901
33800 2152 164649 2430 173351
33900 2156 165321 2431 173679
34000 2159 165731 2436 174269
34100 2164 166250 2439 174750
34200 2167 166732 2444 175268
34300 2170 167260 2451 175740
34400 2178 167842 2454 176158
34500 2184 168386 2459 176614
34600 2188 168894 2466 177106
34700 2193 169364 2472 177636
34800 2197 169771 2477 178229
34900 2199 170241 2481 178759
35000 2205 170706 2485 179294
35100 2209 171172 2490 179828
35200 2215 171646 2492 180354
35300 2216 172167 2495 180833
35400 2222 172651 2499 181349
35500 2228 173138 2503 181862
35600 2228 173620 2509 182380
35700 2234 174093 2516 182907
35800 2236 174604 2523 183396
35900 2238 175145 2523 183855
36000 2242 175595 2528 184405
36100 2249 176114 2533 184886
36200 2251 176639 2537 185361
36300 2255 177245 2539 185755
36400 2258 177749 2543 186251
36500 2262 178167 2549 186833
36600 2268 178712 2553 187288
36700 2269 179193 2557 187807
36800 2272 179765 2559 188235
36900 2276 180303 2567 188697
37000 2280 180737 2572 189263
37100 2281 181172 2575 189828
37200 2284 181623 2578 190377
37300 2289 182154 2582 190846
37400 2295 182649 2586 191351
37500 2299 183298 2591 191702
37600 2300 183971 2599 192029
37700 2304 184452 2601 192548
37800 2307 184907 2603 193093
37900 2315 185393 2605 193607
38000 2324 185950 2609 194050
38100 2327 186398 2610 194602
38200 2333 186872 2616 195128
38300 2341 187360 2621 195640
38400 2348 187813 2625 196187
38500 2352 188364 2628 196636
38600 2355 188895 2636 197105
38700 2358 189492 2644 197508
38800 2362 189904 2654 198096
38900 2365 190389 2659 198611
39000 2366 190916 2665 199084
39100 2368 191401 2667 199599
39200 2369 191993 2671 200007
39300 2378 192519 2676 200481
39400 2381 192961 2684 201039
39500 2386 193502 2689 201498
39600 2388 193855 2692 202145
39700 2390 194306 2698 202694
39800 2394 194726 2705 203274
39900 2397 195245 2708 203755
40000 2400 195747 2716 204253
40100 2404 196166 2719 204834
40200 2412 196592 2725 205408
40300 2416 197236 2728 205764
40400 2417 197679 2730 206321
40500 2423 198074 2730 206926
40600 2427 198519 2731 207481
40700 2436 198996 2734 208004
40800 2438 199458 2735 208542
40900 2444 200045 2738 208955
41000 2445 200567 2739 209433
41100 2449 200980 2740 210020
41200 2454 201471 2742 210529
41300 2456 202014 2747 210986
41400 2458 202580 2752 211420
41500 2461 203066 2758 211934
41600 2461 203644 2764 212356
41700 2469 204186 2772 212814
41800 2473 204712 2774 213288
41900 2478 205207 2782 213793
42000 2484 205783 2783 214217
42100 2487 206235 2788 214765
42200 2491 206654 2792 215346
42300 2492 207119 2793 215881
42400 2493 207494 2795 216506
42500 2500 207976 2799 217024
42600 2503 208437 2806 217563
42700 2506 209016 2807 217984
42800 2507 209595 2812 218405
42900 2509 210051 2815 218949
43000 2517 210563 2819 219437
43100 2528 211022 2829 219978
43200 2530 211478 2831 220522
43300 2532 211973 2838 221027
43400 2537 212416 2841 221584
43500 2541 212897 2844 222103
43600 2547 213372 2848 222628
43700 2551 213917 2849 223083
43800 2555 214441 2851 223559
43900 2561 214923 2852 224077
44000 2566 215305 2856 224695
44100 2568 215775 2859 225225
44200 2570 216279 2865 225721
44300 2577 216733 2870 226267
44400 2591 217167 2874 226833
44500 2594 217639 2877 227361
44600 2598 218147 2879 227853
44700 2601 218753 2881 228247
44800 2608 219231 2886 228769
44900 2612 219764 2888 229236
45000 2620 220358 2894 229642
45100 2626 220793 2899 230207
45200 2632 221248 2900 230752
45300 2639 221803 2904 231197
45400 2641 222240 2912 231760
45500 2644 222807 2915 232193
45600 2647 223321 2923 232679
45700 2651 223838 2926 233162
45800 2654 224388 2928 233612
45900 2657 224945 2934 234055
46000 2660 225449 2935 234551
46100 2661 225956 2936 235044
46200 2666 226302 2942 235698
46300 2668 226807 2945 236193
46400 2673 227252 2947 236748
46500 2676 227840 2957 237160
46600 2678 228386 2968 237614
46700 2685 228837 2973 238163
46800 2694 229278 2980 238722
46900 2697 229746 2981 239254
47000 2699 230223 2982 239777
47100 2703 230654 2989 240346
47200 2705 231174 2991 240826
47300 2710 231767 2998 241233
47400 2719 232175 3007 241825
47500 2722 232660 3012 242340
47600 2725 233154 3018 242846
47700 2730 233668 3020 243332
47800 2735 234115 3020 243885
47900 2739 234583 3027 244417
48000 2747 235048 3034 244952
48100 2752 235567 3038 245433
48200 2753 236040 3043 245960
48300 2757 236668 3047 246332
48400 2760 237171 3051 246829
48500 2764 237618 3055 247382
48600 2769 238111 3057 247889
