#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.65 0.65]
#! SET kt 1.0
22400 1551 110336 1627 113664
22500 1560 110850 1631 114150
22600 1564 111321 1637 114679
22700 1567 111876 1641 115124
22800 1573 112397 1648 115603
22900 1578 112920 1651 116080
23000 1584 113426 1653 116574
23100 1585 113856 1656 117144
23200 1591 114378 1659 117622
23300 1594 114832 1661 118168
23400 1596 115282 1668 118718
23500 1606 115801 1673 119199
23600 1610 116397 1675 119603
23700 1611 116840 1678 120160
23800 1618 117293 1680 120707
23900 1625 117715 1690 121285
24000 1628 118196 1697 121804
24100 1635 118718 1706 122282
24200 1640 119182 1710 122818
24300 1643 119689 1713 123311
24400 1646 120126 1719 123874
24500 1649 120681 1720 124319
24600 1651 121192 1726 124808
24700 1656 121733 1733 125267
24800 1660 122220 1740 125780
24900 1666 122637 1742 126363
25000 1669 123181 1746 126819
25100 1672 123610 1751 127390
25200 1674 123988 1754 128012
25300 1677 124455 1756 128545
25400 1681 124950 1763 129050
25500 1682 125374 1769 129626
25600 1687 125746 1771 130254
25700 1692 126209 1776 130791
25800 1700 126688 1783 131312
25900 1703 127216 1788 131784
26000 1706 127649 1791 132351
26100 1712 128154 1798 132846
26200 1716 128641 1803 133359
26300 1718 129156 1808 133844
26400 1728 129658 1813 134342
26500 1732 130129 1815 134871
26600 1742 130595 1818 135405
26700 1746 131071 1819 135929
26800 1750 131591 1822 136409
26900 1754 132149 1829 136851
27000 1760 132683 1833 137317
27100 1766 133197 1836 137803
27200 1771 133725 1842 138275
27300 1773 134184 1844 138816
27400 1778 134700 1846 139300
27500 1782 135101 1851 139899
27600 1786 135503 1861 140497
27700 1793 136106 1870 140894
27800 1797 136581 1878 141419
27900 1801 137019 1881 141981
28000 1803 137534 1888 142466
28100 1807 138004 1893 142996
28200 1813 138479 1897 143521
28300 1820 138947 1901 144053
28400 1823 139422 1905 144578
28500 1835 139895 1909 145105
28600 1840 140453 1913 145547
28700 1849 140969 1915 146031
28800 1857 141440 1921 146560
28900 1861 141884 1923 147116
29000 1864 142394 1930 147606
29100 1866 142826 1934 148174
29200 1868 143414 1936 148586
29300 1873 144009 1936 148991
29400 1878 144604 1946 149396
29500 1883 145102 1951 149898
29600 1886 145619 1953 150381
29700 1892 146083 1957 150917
29800 1897 146580 1960 151420
29900 1902 147094 1966 151906
30000 1903 147589 1972 152411
30100 1906 148045 1974 152955
30200 1909 148600 1974 153400
30300 1915 149027 1981 153973
30400 1922 149475 1986 154525
30500 1925 149907 1988 155093
30600 1933 150345 1997 155655
30700 1941 150819 2006 156181
30800 1945 151321 2013 156679
30900 1948 151810 2015 157190
31000 1954 152375 2020 157625
31100 1959 152878 2023 158122
31200 1966 153375 2027 158625
31300 1972 153911 2032 159089
31400 1973 154439 2036 159561
31500 1974 154929 2037 160071
31600 1980 155413 2043 160587
31700 1985 155892 2044 161108
31800 1992 156442 2049 161558
31900 1997 156992 2053 162008
32000 2003 157531 2062 162469
32100 2007 158037 2063 162963
32200 2013 158522 2066 163478
32300 2021 159021 2073 163979
32400 2026 159488 2076 164512
