#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.35 0.35]
#! SET kt 1.0
100 105 357 95 643
200 200 627 218 1373
300 293 970 328 2030
400 389 1374 414 2626
500 458 1665 502 3335
600 512 2015 568 3985
700 551 2395 615 4605
800 583 2833 651 5167
900 601 3171 670 5829
1000 615 3562 689 6438
1100 629 4075 701 6925
1200 638 4507 711 7493
1300 647 5002 722 7998
1400 657 5493 729 8507
1500 666 5998 735 9002
1600 677 6559 746 9441
1700 684 7135 756 9865
1800 692 7700 766 10300
1900 705 8191 774 10809
2000 715 8654 782 11346
2100 723 9129 791 11871
2200 735 9695 802 12305
2300 750 10194 814 12806
2400 759 10626 825 13374
2500 763 11122 833 13878
2600 772 11606 844 14394
2700 775 12183 848 14817
2800 789 12755 867 15245
2900 803 13276 877 15724
3000 815 13789 889 16211
3100 823 14322 896 16678
3200 836 14857 902 17143
3300 844 15330 909 17670
3400 852 15821 921 18179
3500 863 16366 929 18634
3600 871 16868 935 19132
3700 875 17407 940 19593
3800 888 17891 949 20109
3900 895 18380 964 20620
4000 900 18920 974 21080
4100 906 19399 982 21601
4200 913 19873 996 22127
4300 917 20326 1004 22674
4400 925 20795 1016 23205
4500 936 21196 1026 23804
4600 945 21695 1040 24305
4700 955 22113 1051 24887
4800 963 22537 1065 25463
4900 973 23045 1072 25955
5000 984 23646 1079 26354
5100 990 24181 1085 26819
5200 994 24604 1093 27396
5300 1000 25028 1103 27972
5400 1007 25539 1114 28461
5500 1014 25989 1124 29011
5600 1024 26402 1127 29598
5700 1037 26937 1138 30063
5800 1045 27437 1146 30563
5900 1059 27959 1155 31041
6000 1069 28464 1169 31536
6100 1077 28977 1186 32023
6200 1090 29477 1201 32523
6300 1103 29953 1209 33047
6400 1111 30428 1221 33572
6500 1121 30994 1224 34006
6600 1129 31490 1229 34510
6700 1141 31933 1243 35067
6800 1159 32360 1256 35640
6900 1168 32852 1267 36148
7000 1175 33377 1274 36623
7100 1179 33859 1280 37141
7200 1195 34356 1296 37644
7300 1202 34875 1307 38125
7400 1210 35476 1312 38524
7500 1223 35960 1321 39040
7600 1235 36446 1331 39554
7700 1247 36918 1346 40082
7800 1257 37362 1357 40638
7900 1270 37852 1367 41148
8000 1277 38317 1375 41683
8100 1286 38890 1384 42110
8200 1306 39454 1396 42546
8300 1315 39943 1402 43057
