#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.25 0.25]
#! SET kt 1.0
100 117 494 119 506
200 193 670 220 1330
300 266 922 337 2078
400 341 1264 438 2736
500 386 1687 523 3313
600 452 1810 607 4190
700 533 2004 707 4996
800 612 2290 776 5710
900 657 2652 829 6348
1000 704 3060 868 6940
1100 729 3501 897 7499
1200 735 3937 911 8063
1300 746 4539 922 8461
1400 763 5049 935 8951
1500 774 5598 938 9402
1600 784 6190 943 9810
1700 790 6629 947 10371
1800 798 7152 953 10848
1900 807 7589 957 11411
2000 817 8150 966 11850
2100 829 8823 978 12177
2200 844 9338 991 12662
2300 852 9886 1002 13114
2400 863 10340 1016 13660
2500 864 10900 1022 14100
2600 879 11414 1030 14586
2700 892 11935 1042 15065
2800 906 12430 1052 15570
2900 930 12928 1057 16072
3000 945 13413 1063 16587
3100 950 13971 1073 17029
3200 963 14530 1084 17470
3300 973 14997 1096 18003
3400 981 15476 1109 18524
3500 989 15935 1112 19065
3600 1001 16458 1117 19542
3700 1007 16943 1125 20057
3800 1018 17357 1136 20643
3900 1032 17899 1142 21101
4000 1038 18375 1148 21625
4100 1048 18879 1155 22121
4200 1060 19403 1164 22597
4300 1067 19875 1174 23125
4400 1070 20351 1184 23649
4500 1076 20948 1189 24052
4600 1086 21405 1196 24595
4700 1096 21822 1207 25178
4800 1114 22256 1223 25744
4900 1123 22677 1230 26323
5000 1130 23192 1241 26808
5100 1150 23645 1253 27355
5200 1166 24085 1271 27915
5300 1178 24533 1282 28467
5400 1187 25064 1295 28936
5500 1197 25592 1302 29408
5600 1203 26126 1308 29874
5700 1213 26594 1320 30406
5800 1229 27133 1333 30867
5900 1240 27577 1337 31423
6000 1249 28096 1345 31904
6100 1263 28589 1354 32411
6200 1272 29143 1362 32857
6300 1281 29620 1369 33380
6400 1289 30051 1374 33949
6500 1299 30614 1385 34386
6600 1314 31135 1396 34865
6700 1325 31597 1409 35403
6800 1332 32107 1419 35893
6900 1343 32644 1429 36356
7000 1352 33153 1442 36847
7100 1360 33667 1446 37333
7200 1368 34123 1452 37877
7300 1378 34718 1457 38282
7400 1381 35318 1471 38682
7500 1393 35856 1481 39144
7600 1402 36347 1490 39653
7700 1410 36766 1498 40234
7800 1418 37323 1508 40677
7900 1425 37821 1514 41179
8000 1436 38416 1521 41584
8100 1445 38905 1533 42095
8200 1453 39493 1542 42507
8300 1463 39928 1549 43072
8400 1476 40515 1555 43485
8500 1486 41026 1561 43974
8600 1493 41577 1570 44423
8700 1501 42079 1579 44921
8800 1508 42608 1587 45392
8900 1513 43079 1598 45921
9000 1520 43519 1608 46481
9100 1528 43981 1619 47019
9200 1539 44457 1628 47543
9300 1550 45021 1634 47979
9400 1564 45536 1647 48464
9500 1571 45971 1659 49029
9600 1579 46522 1668 49478
9700 1584 46997 1675 50003
9800 1587 47527 1680 50473
9900 1596 48063 1685 50937
10000 1602 48571 1691 51429
10100 1615 49050 1704 51950
10200 1622 49553 1713 52447
10300 1635 49992 1720 53008
10400 1642 50569 1737 53431
10500 1650 51026 1746 53974
10600 1656 51588 1753 54412
10700 1662 52035 1763 54965
